selection_rank,appid,name,total_ratings_pos_neg,positive_ratio,steamspy_owners,v005_split,v005_model,llm6_model_used,corpus_label_12,is_core_strict_12,is_core_broad_12,is_core_maybe_12,is_review_pool_12,is_missing_llm_result,llm6_has_clear_main_protagonist,llm6_protagonist_name,llm6_protagonist_type,llm6_protagonist_confidence_0_3,primary_archetype_12,secondary_archetype_12,tertiary_archetype_12,primary_archetype_12_is_valid,original_shadow_antihero_present,original_primary_was_shadow_antihero,llm6_shadow_load_0_3,shadow_load_category,archetype_12_correction_method,llm6_primary_archetype,llm6_secondary_archetype,llm6_tertiary_archetype,llm6_archetype_confidence_0_3,llm6_archetype_suitability_0_3,llm6_player_projection_0_3,llm6_narrative_complexity_0_3,llm6_suggested_include_in_final_corpus,llm6_needs_manual_review,needs_manual_review_12,llm6_evidence_basis,llm6_exclusion_reason,llm6_note,rank_bin_5000,available_terms_for_later_inspection,control_protagonist,llm6_custom_id,llm6_split_label,llm6_part_no,llm6_source_output_file
2171,304030,ArcheAge,7378,0.5195174844131201,"1,000,000 .. 2,000,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,cbd,customizable_but_defined,2.0,Ruler/Leader,Explorer/Seeker,Everyman/Orphan,True,False,False,0.0,none,original_primary_valid_12,Ruler/Leader,Explorer/Seeker,Everyman/Orphan,2.0,1.0,2.0,3.0,yes,False,False,general_knowledge,multiplayer_only_or_no_story_focus,Custom fantasy MMO avatar,1-5000,,,steam-v006-rest54mini-part_001-chunk-0024-ranks-2151-2200,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
2179,264140,Pixel Piracy,7357,0.6543428027728694,"200,000 .. 500,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,cbd,customizable_but_defined,2.0,Ruler/Leader,Creator/Artist,Rebel/Outlaw,True,False,False,0.0,none,original_primary_valid_12,Ruler/Leader,Creator/Artist,Rebel/Outlaw,2.0,1.0,2.0,2.0,yes,False,False,general_knowledge,simulator_or_management,Custom pirate crew manager,1-5000,,,steam-v006-rest54mini-part_001-chunk-0024-ranks-2151-2200,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
2180,1150080,Azur Lane Crosswave,7350,0.690204081632653,"200,000 .. 500,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,fixed_named_single,2.0,Ruler/Leader,Creator/Artist,Explorer/Seeker,True,False,False,0.0,none,original_primary_valid_12,Ruler/Leader,Creator/Artist,Explorer/Seeker,2.0,1.0,1.0,2.0,yes,False,False,general_knowledge,multiplayer_only_or_no_story_focus,Anime racer with named heroines,1-5000,,,steam-v006-rest54mini-part_001-chunk-0024-ranks-2151-2200,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
2184,1088090,Day of Dragons,7292,0.6619583104772353,"500,000 .. 1,000,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,nfx,nonhuman_fixed_protagonist,2.0,Explorer/Seeker,Hero/Warrior,Magician/Transformer,True,False,False,0.0,none,original_primary_valid_12,Explorer/Seeker,Hero/Warrior,Magician/Transformer,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,none,Dragon protagonist experience,1-5000,,,steam-v006-rest54mini-part_001-chunk-0024-ranks-2151-2200,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
2234,702050,The Song of Saya,7136,0.9090526905829596,"200,000 .. 500,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Saya,fixed_named_single,2.0,Hero/Warrior,Magician/Transformer,Uncertain,True,True,True,3.0,high,primary_shadow_reassigned_from_secondary_or_tertiary,Shadow/Antihero,Hero/Warrior,Magician/Transformer,2.0,1.0,1.0,2.0,yes,False,False,general_knowledge,none,Dark visual novel heroine,1-5000,,,steam-v006-rest54mini-part_001-chunk-0025-ranks-2201-2250,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
2933,1392060,Erzurum,4735,0.4006335797254488,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Erzurum,fixed_named_single,2.0,Explorer/Seeker,Everyman/Orphan,Uncertain,True,True,False,1.0,low,original_primary_valid_12,Explorer/Seeker,Shadow/Antihero,Everyman/Orphan,2.0,1.0,1.0,2.0,yes,False,False,general_knowledge,none,Survival travel protagonist,1-5000,,,steam-v006-rest54mini-part_001-chunk-0039-ranks-2901-2950,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
3100,247950,Sacred 3,4408,0.2681488203266787,"500,000 .. 1,000,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Nehalem,fixed_named_single,3.0,Hero/Warrior,Ruler/Leader,Uncertain,True,True,False,2.0,medium,original_primary_valid_12,Hero/Warrior,Shadow/Antihero,Ruler/Leader,3.0,1.0,1.0,2.0,yes,False,False,general_knowledge,none,Low-rated action RPG,1-5000,,,steam-v006-rest54mini-part_001-chunk-0042-ranks-3051-3100,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
3237,723390,Hunt Down The Freeman,4083,0.532451628704384,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Hunt Down The Freeman,fixed_named_single,3.0,Hero/Warrior,Everyman/Orphan,Uncertain,True,True,True,3.0,high,primary_shadow_reassigned_from_secondary_or_tertiary,Shadow/Antihero,Hero/Warrior,Everyman/Orphan,2.0,1.0,1.0,2.0,yes,False,False,general_knowledge,none,Controversial named antihero,1-5000,,,steam-v006-rest54mini-part_001-chunk-0045-ranks-3201-3250,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
3654,1058640,RED HOT VENGEANCE,3428,0.9600350058343056,"200,000 .. 500,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,RED HOT VENGEANCE,fixed_named_single,2.0,Rebel/Outlaw,Hero/Warrior,Uncertain,True,True,True,3.0,high,primary_shadow_reassigned_from_secondary_or_tertiary,Shadow/Antihero,Rebel/Outlaw,Hero/Warrior,2.0,1.0,1.0,1.0,yes,False,False,metadata_inference,insufficient_information,Vengeful action lead,1-5000,,,steam-v006-rest54mini-part_001-chunk-0054-ranks-3651-3700,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
3669,523650,Lust for Darkness,3404,0.6915393654524089,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Lust for Darkness,fixed_named_single,2.0,Magician/Transformer,Lover,Uncertain,True,True,True,3.0,high,primary_shadow_reassigned_from_secondary_or_tertiary,Shadow/Antihero,Magician/Transformer,Lover,2.0,1.0,1.0,2.0,yes,False,False,metadata_inference,insufficient_information,Occult horror descent,1-5000,,,steam-v006-rest54mini-part_001-chunk-0054-ranks-3651-3700,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4160,385730,WWE 2K16,2797,0.646406864497676,"500,000 .. 1,000,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,WWE wrestler,sports_or_racing_role,2.0,Hero/Warrior,Ruler/Leader,Uncertain,True,True,False,1.0,low,original_primary_valid_12,Hero/Warrior,Ruler/Leader,Shadow/Antihero,2.0,1.0,1.0,2.0,yes,False,False,general_knowledge,sports_or_racing,Sports wrestling role.,1-5000,,,steam-v006-rest54mini-part_001-chunk-0064-ranks-4151-4200,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4179,267490,Batman: Arkham Origins Blackgate - Deluxe Edition,2784,0.4231321839080459,"200,000 .. 500,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Batman,fixed_named_single,3.0,Hero/Warrior,Ruler/Leader,Uncertain,True,True,True,2.0,medium,primary_shadow_reassigned_from_secondary_or_tertiary,Shadow/Antihero,Hero/Warrior,Ruler/Leader,3.0,1.0,2.0,1.0,yes,False,False,general_knowledge,none,Batman as main character.,1-5000,,,steam-v006-rest54mini-part_001-chunk-0064-ranks-4151-4200,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4258,2311190,Garten of Banban 3,2710,0.7298892988929889,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Garten of Banban 3,fixed_named_single,2.0,Explorer/Seeker,Everyman/Orphan,Uncertain,True,True,False,1.0,low,original_primary_valid_12,Explorer/Seeker,Everyman/Orphan,Shadow/Antihero,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,none,Childlike horror escape,1-5000,,,steam-v006-rest54mini-part_001-chunk-0066-ranks-4251-4300,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4286,2459550,Emberward,2685,0.9716945996275606,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Emberward,strategy_or_systemic_role,2.0,Creator/Artist,Ruler/Leader,Sage/Investigator,True,False,False,0.0,none,original_primary_valid_12,Creator/Artist,Ruler/Leader,Sage/Investigator,2.0,1.0,0.0,2.0,yes,False,False,general_knowledge,pure_strategy_or_systemic_role,Tower defense,1-5000,,,steam-v006-rest54mini-part_001-chunk-0066-ranks-4251-4300,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4291,2961530,Fears to Fathom - Woodbury Getaway,2680,0.8619402985074627,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Fears to Fathom - Woodbury Getaway,fixed_named_single,2.0,Everyman/Orphan,Explorer/Seeker,Uncertain,True,True,False,1.0,low,original_primary_valid_12,Everyman/Orphan,Shadow/Antihero,Explorer/Seeker,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,none,Horror survival protagonist,1-5000,,,steam-v006-rest54mini-part_001-chunk-0066-ranks-4251-4300,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4294,298600,Lovely Planet,2678,0.9055265123226288,"200,000 .. 500,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Lovely Planet,fixed_named_single,2.0,Innocent,Jester/Trickster,Explorer/Seeker,True,False,False,0.0,none,original_primary_valid_12,Innocent,Jester/Trickster,Explorer/Seeker,2.0,1.0,0.0,1.0,yes,False,False,general_knowledge,none,Abstract shooter avatar,1-5000,,,steam-v006-rest54mini-part_001-chunk-0066-ranks-4251-4300,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4862,410710,System Shock: Enhanced Edition,2172,0.8959484346224678,"500,000 .. 1,000,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,u,fixed_named_single,2.0,Explorer/Seeker,Sage/Investigator,Uncertain,True,True,False,2.0,medium,original_primary_valid_12,Explorer/Seeker,Sage/Investigator,Shadow/Antihero,2.0,1.0,2.0,2.0,yes,False,False,general_knowledge,none,Classic FPS protagonist,1-5000,,,steam-v006-rest54mini-part_001-chunk-0078-ranks-4851-4900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4864,1366290,Kill It With Fire: HEATWAVE,2170,0.9170506912442395,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,u,fixed_named_single,2.0,Jester/Trickster,Explorer/Seeker,Hero/Warrior,True,False,False,0.0,none,original_primary_valid_12,Jester/Trickster,Explorer/Seeker,Hero/Warrior,2.0,1.0,2.0,1.0,yes,False,False,metadata_inference,none,House-cleaning chaos game,1-5000,,,steam-v006-rest54mini-part_001-chunk-0078-ranks-4851-4900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4865,2399220,NUKITASHI,2170,0.9617511520737329,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,u,fixed_named_single,2.0,Rebel/Outlaw,Jester/Trickster,Uncertain,True,True,False,1.0,low,original_primary_valid_12,Rebel/Outlaw,Jester/Trickster,Shadow/Antihero,2.0,1.0,2.0,2.0,yes,False,False,metadata_inference,none,Adult visual novel lead,1-5000,,,steam-v006-rest54mini-part_001-chunk-0078-ranks-4851-4900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4866,1249880,Tiny Bunny,2169,0.9552789303826648,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,u,fixed_named_single,2.0,Innocent,Explorer/Seeker,Uncertain,True,True,False,1.0,low,original_primary_valid_12,Innocent,Shadow/Antihero,Explorer/Seeker,2.0,1.0,2.0,2.0,yes,False,False,metadata_inference,none,Child protagonist horror,1-5000,,,steam-v006-rest54mini-part_001-chunk-0078-ranks-4851-4900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4867,384630,Aviary Attorney,2168,0.9478782287822878,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,u,fixed_named_single,2.0,Sage/Investigator,Jester/Trickster,Hero/Warrior,True,False,False,0.0,none,original_primary_valid_12,Sage/Investigator,Jester/Trickster,Hero/Warrior,2.0,1.0,2.0,2.0,yes,False,False,general_knowledge,none,Detective attorney animal cast,1-5000,,,steam-v006-rest54mini-part_001-chunk-0078-ranks-4851-4900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4873,1000030,"Cook, Serve, Delicious! 3?!",2159,0.9106067623899954,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,u,fixed_named_single,2.0,Jester/Trickster,Creator/Artist,Ruler/Leader,True,False,False,0.0,none,original_primary_valid_12,Jester/Trickster,Creator/Artist,Ruler/Leader,2.0,1.0,2.0,1.0,yes,False,False,general_knowledge,none,Chef time-management protagonist,1-5000,,,steam-v006-rest54mini-part_001-chunk-0078-ranks-4851-4900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4875,272600,Detective Grimoire,2157,0.9564209550301344,"200,000 .. 500,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,u,fixed_named_single,2.0,Sage/Investigator,Jester/Trickster,Hero/Warrior,True,False,False,0.0,none,original_primary_valid_12,Sage/Investigator,Jester/Trickster,Hero/Warrior,2.0,1.0,2.0,1.0,yes,False,False,general_knowledge,none,Detective point-and-click,1-5000,,,steam-v006-rest54mini-part_001-chunk-0078-ranks-4851-4900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4877,260190,Marc Eckō's Getting Up: Contents Under Pressure,2156,0.890074211502783,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,u,fixed_named_single,2.0,Rebel/Outlaw,Hero/Warrior,Uncertain,True,True,False,1.0,low,original_primary_valid_12,Rebel/Outlaw,Hero/Warrior,Shadow/Antihero,2.0,1.0,2.0,2.0,yes,False,False,general_knowledge,none,Graffiti rebel protagonist,1-5000,,,steam-v006-rest54mini-part_001-chunk-0078-ranks-4851-4900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4878,2956820,近畿霊務局 - Kinki Spiritual Affairs Bureau,2156,0.920686456400742,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,u,fixed_named_single,2.0,Rebel/Outlaw,Jester/Trickster,Sage/Investigator,True,False,False,0.0,none,original_primary_valid_12,Rebel/Outlaw,Jester/Trickster,Sage/Investigator,2.0,1.0,2.0,2.0,yes,False,False,metadata_inference,none,Paranormal office investigator,1-5000,,,steam-v006-rest54mini-part_001-chunk-0078-ranks-4851-4900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4880,1432100,The Bookwalker: Thief of Tales,2154,0.9224698235840296,"200,000 .. 500,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,u,fixed_named_single,2.0,Explorer/Seeker,Sage/Investigator,Rebel/Outlaw,True,False,False,0.0,none,original_primary_valid_12,Explorer/Seeker,Sage/Investigator,Rebel/Outlaw,2.0,1.0,2.0,2.0,yes,False,False,metadata_inference,none,Book thief adventure,1-5000,,,steam-v006-rest54mini-part_001-chunk-0078-ranks-4851-4900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4881,2640,Call of Duty: United Offensive,2153,0.8694844403158384,"200,000 .. 500,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,u,fixed_named_single,2.0,Hero/Warrior,Ruler/Leader,Uncertain,True,True,False,2.0,medium,original_primary_valid_12,Hero/Warrior,Ruler/Leader,Shadow/Antihero,2.0,1.0,2.0,2.0,yes,False,False,general_knowledge,none,WWII soldier campaign,1-5000,,,steam-v006-rest54mini-part_001-chunk-0078-ranks-4851-4900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4882,1357870,Metel - Horror Escape,2153,0.939619136089178,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,u,fixed_named_single,2.0,Everyman/Orphan,Explorer/Seeker,Uncertain,True,True,False,2.0,medium,original_primary_valid_12,Everyman/Orphan,Explorer/Seeker,Shadow/Antihero,2.0,1.0,2.0,1.0,yes,False,False,metadata_inference,none,Escape-room horror,1-5000,,,steam-v006-rest54mini-part_001-chunk-0078-ranks-4851-4900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4883,477870,Yomawari: Night Alone,2152,0.7699814126394052,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,u,fixed_named_single,2.0,Innocent,Explorer/Seeker,Uncertain,True,True,False,2.0,medium,original_primary_valid_12,Innocent,Explorer/Seeker,Shadow/Antihero,2.0,1.0,2.0,2.0,yes,False,False,general_knowledge,none,Child horror exploration,1-5000,,,steam-v006-rest54mini-part_001-chunk-0078-ranks-4851-4900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
4884,313780,Conarium,2151,0.7721989772198977,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,u,fixed_named_single,2.0,Sage/Investigator,Explorer/Seeker,Magician/Transformer,True,False,False,1.0,low,original_primary_valid_12,Sage/Investigator,Explorer/Seeker,Magician/Transformer,2.0,1.0,2.0,2.0,yes,False,False,general_knowledge,none,Lovecraft mystery explorer,1-5000,,,steam-v006-rest54mini-part_001-chunk-0078-ranks-4851-4900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
