appid,name_mini,protagonist_name_mini,protagonist_name_55,protagonist_type_mini,protagonist_type_55,primary_archetype_mini,primary_archetype_55,secondary_archetype_mini,secondary_archetype_55,tertiary_archetype_mini,tertiary_archetype_55,needs_manual_review_mini,needs_manual_review_55,suggested_include_in_final_corpus_mini,suggested_include_in_final_corpus_55,reason_short_mini,reason_short_55,archetype_notes_mini,archetype_notes_55
282140,SOMA,Simon Jarrett,Simon Jarrett,fixed_named_single,fixed_named_single,Explorer/Seeker,Everyman/Orphan,Everyman/Orphan,Sage/Investigator,Shadow/Antihero,Shadow/Antihero,False,False,yes,yes,Clear seeker with everyman framing.,Clear philosophical protagonist.,"An ordinary man thrown into existential discovery, with identity and truth-seeking central.","Ordinary man investigates posthuman identity, isolation, and existential horror."
292030,The Witcher 3: Wild Hunt,Geralt of Rivia,Geralt of Rivia,fixed_named_single,fixed_named_single,Shadow/Antihero,Hero/Warrior,Hero/Warrior,Shadow/Antihero,Explorer/Seeker,Caregiver/Guardian,False,False,yes,yes,Fixed protagonist with strong antihero profile.,Iconic fixed protagonist.,"Monster hunter with morally gray, hardened disposition; also a capable protector and questing seeker.",Warrior-protector with antiheroic pragmatism and paternal devotion to Ciri.
307690,Sleeping Dogs: Definitive Edition,Wei Shen,Wei Shen,fixed_named_single,fixed_named_single,Hero/Warrior,Shadow/Antihero,Explorer/Seeker,Hero/Warrior,Shadow/Antihero,Sage/Investigator,False,False,yes,yes,Clear undercover hero lead.,Clear fixed protagonist.,An undercover cop balancing duty and immersion in a criminal world; heroic but morally pressured.,Undercover warrior-investigator risks moral contamination within criminal life.
383870,Firewatch,Henry,Henry,fixed_named_single,fixed_named_single,Everyman/Orphan,Everyman/Orphan,Explorer/Seeker,Explorer/Seeker,Sage/Investigator,Shadow/Antihero,False,False,yes,yes,Strong everyman seeker.,Clear narrative protagonist.,"An isolated ordinary man seeking escape and answers in the wilderness, with strong introspective focus.",Ordinary man fleeing grief and guilt while investigating wilderness mysteries.
387290,Ori and the Blind Forest: Definitive Edition,Ori,Ori,nonhuman_fixed_protagonist,nonhuman_fixed_protagonist,Innocent,Innocent,Hero/Warrior,Hero/Warrior,Explorer/Seeker,Caregiver/Guardian,False,False,yes,yes,Clear innocent protagonist.,Clear nonhuman protagonist.,Childlike spirit on a rescue journey; innocence and tenderness are central.,Pure spirit child undertakes a heroic quest to restore the forest.
391540,Undertale,Frisk,Frisk,silent_fixed_protagonist,silent_fixed_protagonist,Innocent,Innocent,Explorer/Seeker,Everyman/Orphan,Everyman/Orphan,Shadow/Antihero,False,True,yes,yes,"Clear protagonist, strong innocence projection.",Clear but route-dependent protagonist.,"Childlike, open-ended figure moving through a strange world; innocence is central, with seeker and outsider angles.",Innocent child-survivor can become compassionate or destructive depending on route.
403640,Dishonored 2,Emily Kaldwin / Corvo Attano,Emily Kaldwin / Corvo Attano,fixed_dual,fixed_dual,Ruler/Leader,Ruler/Leader,Rebel/Outlaw,Hero/Warrior,Shadow/Antihero,Shadow/Antihero,False,False,yes,yes,Dual fixed protagonists with ruler framing.,Clear selectable fixed protagonists.,Leadership and restoration are key for Emily; Corvo reinforces stealthy outsider dynamics.,"Deposed ruler and protector reclaim power through stealth, violence, or mercy."
409710,BioShock Remastered,Jack,Jack,silent_fixed_protagonist,silent_fixed_protagonist,Everyman/Orphan,Everyman/Orphan,Explorer/Seeker,Shadow/Antihero,Shadow/Antihero,Hero/Warrior,False,False,yes,yes,Strong outsider-seeker lead.,Clear but intentionally blank protagonist.,An ordinary outsider manipulated into a corrupted world; discovery of truth drives the arc.,Seemingly ordinary survivor discovers engineered identity and coercion.
460950,Katana ZERO,Subject Zero,Subject Zero,fixed_named_single,fixed_named_single,Shadow/Antihero,Shadow/Antihero,Rebel/Outlaw,Hero/Warrior,Jester/Trickster,Sage/Investigator,False,False,yes,yes,Strong antihero assassin lead.,Clear antihero protagonist.,"Violent, damaged assassin with disorienting wit and defiance.",Traumatized killer investigates manipulation and memory while committing violence.
504230,Celeste,Madeline,Madeline,fixed_named_single,fixed_named_single,Everyman/Orphan,Explorer/Seeker,Explorer/Seeker,Everyman/Orphan,Hero/Warrior,Hero/Warrior,False,False,yes,yes,Clear everyman-style personal journey.,Clear psychological protagonist.,"An ordinary, struggling young woman confronting inner obstacles; journey and perseverance are central.","A personal mountain climb externalizes anxiety, identity, and self-acceptance."
524220,NieR:Automata,2B / 9S / A2,2B / 9S / A2,fixed_ensemble,fixed_ensemble,Explorer/Seeker,Shadow/Antihero,Shadow/Antihero,Explorer/Seeker,Hero/Warrior,Hero/Warrior,False,True,yes,yes,"Multiple fixed protagonists, strong narrative cohesion.",Clear ensemble but archetypes vary.,Ensemble of tragic combatants searching for truth and meaning; identity and transformation are central.,"Identity-seeking soldiers confront trauma, cycles of violence, and existential collapse."
632470,Disco Elysium - The Final Cut,Harrier Du Bois,Harrier Du Bois,fixed_named_single,customizable_but_defined,Sage/Investigator,Sage/Investigator,Shadow/Antihero,Shadow/Antihero,Everyman/Orphan,Everyman/Orphan,False,False,yes,yes,Definitive detective antihero.,Highly suitable defined RPG protagonist.,Investigation-driven protagonist with severe personal collapse and moral damage; intellect and self-destruction coexist.,"Broken detective seeks truth while confronting addiction, shame, and ideology."
638970,Yakuza 0,Kazuma Kiryu / Goro Majima,Kazuma Kiryu / Goro Majima,fixed_dual,fixed_dual,Shadow/Antihero,Hero/Warrior,Hero/Warrior,Shadow/Antihero,Ruler/Leader,Rebel/Outlaw,False,False,yes,yes,Dual fixed protagonists.,Clear dual protagonists.,Crime-world antiheroes with strong warrior presence; both are bound up with loyalty and power.,Honorable underworld fighters navigate criminal systems and personal codes.
750920,Shadow of the Tomb Raider: Definitive Edition,Lara Croft,Lara Croft,fixed_named_single,fixed_named_single,Explorer/Seeker,Explorer/Seeker,Hero/Warrior,Hero/Warrior,Sage/Investigator,Shadow/Antihero,False,False,yes,yes,Explorer-focused protagonist.,Clear fixed protagonist.,"Her journey emphasizes discovery and self-understanding, alongside survival and action.",Explorer-warrior confronts the destructive consequences of obsession.
870780,CONTROL Ultimate Edition,Jesse Faden,Jesse Faden,fixed_named_single,fixed_named_single,Magician/Transformer,Magician/Transformer,Explorer/Seeker,Sage/Investigator,Sage/Investigator,Hero/Warrior,False,False,yes,yes,Strong magical-transformer protagonist.,Clear supernatural protagonist.,Supernatural agency director whose powers and changing reality make transformation central.,Paranormal power-bearer transforms into Bureau director while investigating occult truth.
972660,Spiritfarer: Farewell Edition,Stella,Stella,fixed_named_single,fixed_named_single,Caregiver/Guardian,Caregiver/Guardian,Explorer/Seeker,Magician/Transformer,Innocent,Explorer/Seeker,False,False,yes,yes,Clear caregiver protagonist.,Clear narrative protagonist.,Nurturing guide helping souls pass on; caretaking is the core of the role.,"Gentle guardian ferries spirits, nurtures them, and transforms grief into farewell."
1030840,Mafia: Definitive Edition,Tommy Angelo,Tommy Angelo,fixed_named_single,fixed_named_single,Everyman/Orphan,Shadow/Antihero,Shadow/Antihero,Everyman/Orphan,Hero/Warrior,Rebel/Outlaw,False,False,yes,yes,Grounded crime-trajectory protagonist.,Clear fixed protagonist.,"An ordinary man pulled into organized crime, gradually becoming morally compromised.",Ordinary cab driver drawn into organized crime and moral compromise.
1057090,Ori and the Will of the Wisps,Ori,Ori,nonhuman_fixed_protagonist,nonhuman_fixed_protagonist,Innocent,Innocent,Hero/Warrior,Caregiver/Guardian,Explorer/Seeker,Hero/Warrior,False,False,yes,yes,Clear innocent nonhuman protagonist.,Clear nonhuman protagonist.,"Gentle, childlike spirit with a rescue journey; innocence is primary, with heroic and exploratory traits.",Pure spirit-being protects loved ones and heals a wounded world.
1091500,Cyberpunk 2077,V,V,customizable_but_defined,customizable_but_defined,Shadow/Antihero,Rebel/Outlaw,Explorer/Seeker,Shadow/Antihero,Rebel/Outlaw,Explorer/Seeker,False,False,yes,yes,"Clear customizable lead, strongly story-driven.",Clear defined RPG protagonist.,Core identity is a street mercenary/outlaw navigating a corrupt world; strong seeker and antihero elements.,Anti-corporate outlaw survival story with heavy moral compromise and self-transformation.
1113000,Persona 4 Golden,Yu Narukami / protagonist,Yu Narukami / protagonist,customizable_but_defined,silent_fixed_protagonist,Sage/Investigator,Sage/Investigator,Hero/Warrior,Ruler/Leader,Ruler/Leader,Everyman/Orphan,False,False,yes,yes,Defined customizable investigative lead.,Clear silent RPG protagonist.,A calm investigator-leader in a mystery-driven coming-of-age story.,Student detective-leader uncovers truth through bonds and investigation.
1145350,Hades II,Melinoë,Melinoë,fixed_named_single,fixed_named_single,Magician/Transformer,Hero/Warrior,Hero/Warrior,Magician/Transformer,Explorer/Seeker,Rebel/Outlaw,False,True,yes,yes,Strong magical-transformative lead.,Clear protagonist; ongoing game may evolve.,"A witch-like underworld combatant associated with ritual and transformation, while still action-heroic.",Occult warrior seeks to defeat Chronos and restore her family.
1145360,Hades,Zagreus,Zagreus,fixed_named_single,fixed_named_single,Rebel/Outlaw,Rebel/Outlaw,Explorer/Seeker,Explorer/Seeker,Hero/Warrior,Lover,False,False,yes,yes,"Fixed lead with rebellious, questing arc.",Clear mythic protagonist.,Defies the underworld's order to escape and discover his origins; also a combat-focused hero.,Defies paternal rule to seek family truth and connection.
1150690,OMORI,Sunny / Omori,Sunny / Omori,fixed_ensemble,fixed_dual,Shadow/Antihero,Shadow/Antihero,Innocent,Everyman/Orphan,Explorer/Seeker,Innocent,False,True,yes,yes,Dual lead with heavy inner conflict.,Clear but psychologically dual protagonist.,Psychologically fraught protagonist split between childlike fantasy and dark self-protective retreat.,"Traumatized child-self split between repression, guilt, and lost innocence."
1151640,Horizon Zero Dawn Complete Edition,Aloy,Aloy,fixed_named_single,fixed_named_single,Explorer/Seeker,Explorer/Seeker,Hero/Warrior,Sage/Investigator,Sage/Investigator,Hero/Warrior,False,False,yes,yes,Strong seeker/investigator lead.,Clear story protagonist.,"Driven by identity, origins, and uncovering truth in a ruined world; also a skilled protector.",Outcast seeker investigates her origins and saves the world through knowledge and combat.
1174180,Red Dead Redemption 2,Arthur Morgan,Arthur Morgan,fixed_named_single,fixed_named_single,Shadow/Antihero,Shadow/Antihero,Hero/Warrior,Rebel/Outlaw,Explorer/Seeker,Hero/Warrior,False,False,yes,yes,"Clear protagonist, strong antihero tragedy.",Strong narrative protagonist.,"Outlaw with violent, morally conflicted arc; warrior and seeker elements emerge through the story.",Outlaw antihero undergoing moral reckoning and possible redemption.
1259420,Days Gone,Deacon St. John,Deacon St. John,fixed_named_single,fixed_named_single,Shadow/Antihero,Shadow/Antihero,Everyman/Orphan,Lover,Hero/Warrior,Hero/Warrior,False,False,yes,yes,Clear survival-focused antihero.,Clear fixed protagonist.,"Wounded survivor with outlaw energy, but grounded in loyalty and endurance.","Traumatized drifter driven by grief, survival, and devotion to his wife."
1328670,Mass Effect Legendary Edition,Commander Shepard,Commander Shepard,customizable_but_defined,customizable_but_defined,Ruler/Leader,Hero/Warrior,Hero/Warrior,Ruler/Leader,Explorer/Seeker,Explorer/Seeker,False,False,yes,yes,Defined customizable commander protagonist.,Clear customizable defined protagonist.,"Leadership is central, with heroic command and galactic discovery/investigation around it.",Military hero-leader explores galactic threats and unites factions.
1332010,Stray,Cat,Cat,nonhuman_fixed_protagonist,nonhuman_fixed_protagonist,Explorer/Seeker,Explorer/Seeker,Everyman/Orphan,Innocent,Innocent,Caregiver/Guardian,False,False,yes,yes,Clear nonhuman seeker protagonist.,Clear nonhuman protagonist.,"A displaced animal navigating an unknown city, emphasizing curiosity, vulnerability, and journeying.",Animal wanderer explores a lost city and helps liberate trapped beings.
1593500,God of War,Kratos,Kratos / Atreus,fixed_dual,fixed_dual,Shadow/Antihero,Caregiver/Guardian,Hero/Warrior,Shadow/Antihero,Caregiver/Guardian,Hero/Warrior,False,False,yes,yes,"Clear central lead, antihero guardian mix.",Strong father-son protagonist arc.,"Violent, burdened father-figure antihero whose arc combines combat prowess and protection of his son.","A violent former god reframed through fatherhood, protection, and restraint."
1687950,Persona 5 Royal,Joker / Ren Amamiya,Joker / Ren Amamiya,customizable_but_defined,silent_fixed_protagonist,Rebel/Outlaw,Rebel/Outlaw,Hero/Warrior,Ruler/Leader,Magician/Transformer,Hero/Warrior,False,False,yes,yes,Defined customizable rebel leader.,Clear defined silent protagonist.,"Youthful rule-breaker challenging corrupt authority, with transformation via Personas central to the role.",Masked rebel leads phantom thieves against corrupt authority.
1888930,The Last of Us Part I,Joel,Joel / Ellie,fixed_dual,fixed_dual,Shadow/Antihero,Caregiver/Guardian,Caregiver/Guardian,Shadow/Antihero,Hero/Warrior,Hero/Warrior,False,False,yes,yes,"Clear lead, antihero guardian.",Clear dual protagonist arc.,A damaged survivor whose story centers on protection and morally costly attachment.,Protective bond drives a morally fraught survival journey.
