id,order,appid,game,character,protagonist_name,protagonist_role,protagonist_type,source_type,source_url,source_note,validation_status,known_status,internal_suggested_primary_archetype,internal_suggested_secondary_archetype,internal_suggested_archetype_confidence_0_1,internal_archetype_rationale,internal_archetype_source_url,total_ratings_pos_neg,bucket,batch,prompt,include_main_clean,exclude_reason,game_name,character_name,display_game,display_character,display_label,validation_prompt,name,title,description,game_included_for_display,needs_split_or_research,igdb_id,original_release_year,igdb_corpus_title,igdb_corpus_year
igdbpre90_1982_pitfall_pitfall-harry,311,,Pitfall!,Pitfall Harry,Pitfall Harry,jungle treasure hunter avoiding hazards and collecting riches,fixed action-adventure protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/pitfall,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Explorer,Hero,0.85,"Pitfall Harry is one of the clearest early Explorer protagonists, framed by jungle traversal and danger.",https://www.igdb.com/games/pitfall,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Pitfall Harry in Pitfall! (1982)?,True,,Pitfall!,Pitfall Harry,Pitfall! (1982),Pitfall Harry,Pitfall Harry — Pitfall! (1982),Which archetypes best describe Pitfall Harry in Pitfall! (1982)?,Pitfall Harry,Pitfall Harry,Pitfall! (1982): jungle treasure hunter avoiding hazards and collecting riches,True,False,5411,1982,Pitfall!,1982
igdbpre90_1982_dig-dug_taizo-hori-dig-dug,312,,Dig Dug,Taizo Hori / Dig Dug,Taizo Hori / Dig Dug,underground digger fighting monsters by tunneling and inflation attacks,fixed arcade action protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/dig-dug,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Explorer,0.75,The role is active monster confrontation in a spatial digging environment.,https://www.igdb.com/games/dig-dug,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Taizo Hori / Dig Dug in Dig Dug (1982)?,True,,Dig Dug,Taizo Hori / Dig Dug,Dig Dug (1982),Taizo Hori / Dig Dug,Taizo Hori / Dig Dug — Dig Dug (1982),Which archetypes best describe Taizo Hori / Dig Dug in Dig Dug (1982)?,Taizo Hori / Dig Dug,Taizo Hori / Dig Dug,Dig Dug (1982): underground digger fighting monsters by tunneling and inflation attacks,True,False,2636,1982,Dig Dug,1982
igdbpre90_1982_q-bert_q-bert,313,,Q*bert,Q*bert,Q*bert,abstract mascot hopping across cube pyramids while avoiding enemies,fixed arcade puzzle mascot protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/q-bert,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Jester,Innocent,0.70,"Q*bert is a playful, vulnerable puzzle mascot rather than a conventional hero.",https://www.igdb.com/games/q-bert,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Q*bert in Q*bert (1982)?,True,,Q*bert,Q*bert,Q*bert (1982),Q*bert,Q*bert — Q*bert (1982),Which archetypes best describe Q*bert in Q*bert (1982)?,Q*bert,Q*bert,Q*bert (1982): abstract mascot hopping across cube pyramids while avoiding enemies,True,False,1980,1982,Q*bert,1982
igdbpre90_1982_joust_ostrich-mounted-knight,314,,Joust,Ostrich-mounted knight,Ostrich-mounted knight,lance-riding knight battling enemies in an aerial arena,fixed arcade combat role,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/joust,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Jester,0.65,"The knightly combat role is heroic, while the ostrich-riding fantasy makes it comic and stylized.",https://www.igdb.com/games/joust,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Ostrich-mounted knight in Joust (1982)?,True,,Joust,Ostrich-mounted knight,Joust (1982),Ostrich-mounted knight,Ostrich-mounted knight — Joust (1982),Which archetypes best describe Ostrich-mounted knight in Joust (1982)?,Ostrich-mounted knight,Ostrich-mounted knight,Joust (1982): lance-riding knight battling enemies in an aerial arena,True,False,3659,1982,Joust,1982
igdbpre90_1983_dragon-s-lair_dirk-the-daring,315,,Dragon's Lair,Dirk the Daring,Dirk the Daring,clumsy knight rescuing Princess Daphne from a dragon,fixed animated arcade protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/dragon-s-lair,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Jester,0.80,"Dirk is a rescue-quest hero, but his animation and failure states emphasize comic vulnerability.",https://www.igdb.com/games/dragon-s-lair,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Dirk the Daring in Dragon's Lair (1983)?,True,,Dragon's Lair,Dirk the Daring,Dragon's Lair (1983),Dirk the Daring,Dirk the Daring — Dragon's Lair (1983),Which archetypes best describe Dirk the Daring in Dragon's Lair (1983)?,Dirk the Daring,Dirk the Daring,Dragon's Lair (1983): clumsy knight rescuing Princess Daphne from a dragon,True,False,4248,1983,Dragon's Lair,1983
igdbpre90_1983_lode-runner_lode-runner-runner,316,,Lode Runner,Lode Runner / Runner,Lode Runner / Runner,gold-stealing runner evading guards in puzzle-platform levels,fixed/systemic puzzle-platform role,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/lode-runner,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Explorer,Rebel,0.70,The role combines level traversal with outlaw theft and evasion.,https://www.igdb.com/games/lode-runner,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Lode Runner / Runner in Lode Runner (1983)?,True,,Lode Runner,Lode Runner / Runner,Lode Runner (1983),Lode Runner / Runner,Lode Runner / Runner — Lode Runner (1983),Which archetypes best describe Lode Runner / Runner in Lode Runner (1983)?,Lode Runner / Runner,Lode Runner / Runner,Lode Runner (1983): gold-stealing runner evading guards in puzzle-platform levels,True,False,4603,1983,Lode Runner,1983
igdbpre90_1983_manic-miner_miner-willy,317,,Manic Miner,Miner Willy,Miner Willy,miner escaping surreal caverns after a mining accident,fixed platform protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/manic-miner,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Everyman,Jester,0.70,"Miner Willy is an ordinary worker placed in absurd, hostile spaces.",https://www.igdb.com/games/manic-miner,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Miner Willy in Manic Miner (1983)?,True,,Manic Miner,Miner Willy,Manic Miner (1983),Miner Willy,Miner Willy — Manic Miner (1983),Which archetypes best describe Miner Willy in Manic Miner (1983)?,Miner Willy,Miner Willy,Manic Miner (1983): miner escaping surreal caverns after a mining accident,True,False,10161,1983,Manic Miner,1983
igdbpre90_1983_mario-bros_mario-and-luigi,318,,Mario Bros.,Mario and Luigi,Mario and Luigi,plumber brothers clearing creatures from sewer-like stages,duo arcade platform protagonists,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/mario-bros,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Everyman,Hero,0.75,The brothers are worker-like everyday figures turned into action protagonists.,https://www.igdb.com/games/mario-bros,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Mario and Luigi in Mario Bros. (1983)?,True,,Mario Bros.,Mario and Luigi,Mario Bros. (1983),Mario and Luigi,Mario and Luigi — Mario Bros. (1983),Which archetypes best describe Mario and Luigi in Mario Bros. (1983)?,Mario and Luigi,Mario and Luigi,Mario Bros. (1983): plumber brothers clearing creatures from sewer-like stages,True,False,3105,1983,Mario Bros.,1983
igdbpre90_1984_king-s-quest-quest-for-the-crown_sir-graham,319,,King's Quest: Quest for the Crown,Sir Graham,Sir Graham,knight seeking three lost treasures to become king,fixed graphic-adventure protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/king-s-quest-quest-for-the-crown,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Ruler,0.80,Sir Graham is a questing knight whose narrative reward is sovereign rule.,https://www.igdb.com/games/king-s-quest-quest-for-the-crown,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Sir Graham in King's Quest: Quest for the Crown (1984)?,True,,King's Quest: Quest for the Crown,Sir Graham,King's Quest: Quest for the Crown (1984),Sir Graham,Sir Graham — King's Quest: Quest for the Crown (1984),Which archetypes best describe Sir Graham in King's Quest: Quest for the Crown (1984)?,Sir Graham,Sir Graham,King's Quest: Quest for the Crown (1984): knight seeking three lost treasures to become king,True,False,892,1984,King's Quest: Quest for the Crown,1984
igdbpre90_1984_elite_commander-jameson-space-trader,320,,Elite,Commander Jameson / space trader,Commander Jameson / space trader,"open-ended space pilot trading, fighting, and exploring",systemic space-sim role,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/elite,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Explorer,Ruler,0.75,"The role is defined by free exploration and command over ship, trade, and reputation.",https://www.igdb.com/games/elite,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Commander Jameson / space trader in Elite (1984)?,True,,Elite,Commander Jameson / space trader,Elite (1984),Commander Jameson / space trader,Commander Jameson / space trader — Elite (1984),Which archetypes best describe Commander Jameson / space trader in Elite (1984)?,Commander Jameson / space trader,Commander Jameson / space trader,"Elite (1984): open-ended space pilot trading, fighting, and exploring",True,False,2951,1984,Elite,1984
igdbpre90_1984_boulder-dash_rockford,321,,Boulder Dash,Rockford,Rockford,cave explorer collecting diamonds while avoiding falling rocks and creatures,fixed puzzle-action protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/boulder-dash,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Explorer,Everyman,0.75,"Rockford is a compact exploration mascot, less mythic than many console heroes.",https://www.igdb.com/games/boulder-dash,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Rockford in Boulder Dash (1984)?,True,,Boulder Dash,Rockford,Boulder Dash (1984),Rockford,Rockford — Boulder Dash (1984),Which archetypes best describe Rockford in Boulder Dash (1984)?,Rockford,Rockford,Boulder Dash (1984): cave explorer collecting diamonds while avoiding falling rocks and creatures,True,False,12942,1984,Boulder Dash,1984
igdbpre90_1984_impossible-mission_secret-agent-4125,322,,Impossible Mission,Secret agent 4125,Secret agent 4125,agent infiltrating Elvin Atombender’s fortress to stop a threat,fixed spy/action protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/impossible-mission,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Sage,Hero,0.75,"The game combines infiltration, code/puzzle assembly, and heroic spy action.",https://www.igdb.com/games/impossible-mission,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Secret agent 4125 in Impossible Mission (1984)?,True,,Impossible Mission,Secret agent 4125,Impossible Mission (1984),Secret agent 4125,Secret agent 4125 — Impossible Mission (1984),Which archetypes best describe Secret agent 4125 in Impossible Mission (1984)?,Secret agent 4125,Secret agent 4125,Impossible Mission (1984): agent infiltrating Elvin Atombender’s fortress to stop a threat,True,False,4929,1984,Impossible Mission,1984
igdbpre90_1984_karateka_karateka,323,,Karateka,Karateka,Karateka,martial artist storming a fortress to rescue Mariko,fixed martial-arts protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/karateka,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Lover,0.80,The protagonist is a rescue hero motivated by romantic devotion.,https://www.igdb.com/games/karateka,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Karateka in Karateka (1984)?,True,,Karateka,Karateka,Karateka (1984),Karateka,Karateka — Karateka (1984),Which archetypes best describe Karateka in Karateka (1984)?,Karateka,Karateka,Karateka (1984): martial artist storming a fortress to rescue Mariko,True,False,4602,1984,Karateka,1984
igdbpre90_1984_bruce-lee_bruce-lee,324,,Bruce Lee,Bruce Lee,Bruce Lee,martial artist navigating a fortress and fighting opponents,licensed martial-arts protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/bruce-lee,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Explorer,0.75,The role combines iconic martial heroism with dangerous spatial exploration.,https://www.igdb.com/games/bruce-lee,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Bruce Lee in Bruce Lee (1984)?,True,,Bruce Lee,Bruce Lee,Bruce Lee (1984),Bruce Lee,Bruce Lee — Bruce Lee (1984),Which archetypes best describe Bruce Lee in Bruce Lee (1984)?,Bruce Lee,Bruce Lee,Bruce Lee (1984): martial artist navigating a fortress and fighting opponents,True,False,13447,1984,Bruce Lee,1984
igdbpre90_1984_spartan-x_thomas,325,,Spartan X,Thomas,Thomas,martial artist fighting upward through a building to rescue Sylvia,fixed beat-em-up protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/spartan-x--1,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation. Also known in some markets as Kung-Fu Master; display character uses the rescue protagonist Thomas.,not_validated,named_or_defined_protagonist,Hero,Lover,0.80,Thomas is an early beat-em-up rescue hero whose motivation is romantic rescue.,https://www.igdb.com/games/spartan-x--1,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Thomas in Spartan X (1984)?,True,,Spartan X,Thomas,Spartan X (1984),Thomas,Thomas — Spartan X (1984),Which archetypes best describe Thomas in Spartan X (1984)?,Thomas,Thomas,Spartan X (1984): martial artist fighting upward through a building to rescue Sylvia,True,False,2901,1984,Spartan X,1984
igdbpre90_1985_ghosts-n-goblins_sir-arthur,326,,Ghosts 'n Goblins,Sir Arthur,Sir Arthur,knight fighting undead hordes to rescue Princess Prin-Prin,fixed action-platform protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/ghosts-n-goblins,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Lover,0.85,Arthur is a direct knightly rescue hero with a romantic rescue frame.,https://www.igdb.com/games/ghosts-n-goblins,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Sir Arthur in Ghosts 'n Goblins (1985)?,True,,Ghosts 'n Goblins,Sir Arthur,Ghosts 'n Goblins (1985),Sir Arthur,Sir Arthur — Ghosts 'n Goblins (1985),Which archetypes best describe Sir Arthur in Ghosts 'n Goblins (1985)?,Sir Arthur,Sir Arthur,Ghosts 'n Goblins (1985): knight fighting undead hordes to rescue Princess Prin-Prin,True,False,6807,1985,Ghosts 'n Goblins,1985
igdbpre90_1985_super-mario-bros_mario,327,,Super Mario Bros.,Mario,Mario,platform hero crossing the Mushroom Kingdom to rescue Princess Toadstool,fixed mascot platform protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/super-mario-bros,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Explorer,0.90,"Mario is structured as a rescuer, while level-to-level traversal makes Explorer a strong secondary.",https://www.igdb.com/games/super-mario-bros,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Mario in Super Mario Bros. (1985)?,True,,Super Mario Bros.,Mario,Super Mario Bros. (1985),Mario,Mario — Super Mario Bros. (1985),Which archetypes best describe Mario in Super Mario Bros. (1985)?,Mario,Mario,Super Mario Bros. (1985): platform hero crossing the Mushroom Kingdom to rescue Princess Toadstool,True,False,358,1985,Super Mario Bros.,1985
