igdb_id,name,original_release_year,genres,themes,game_modes,visibility_count_score,rating_count,total_rating_count,summary,storyline,llm6_protagonist_name,llm6_protagonist_type,primary_archetype_12,secondary_archetype_12,tertiary_archetype_12,llm6_protagonist_confidence_0_3,llm6_archetype_confidence_0_3,llm6_needs_manual_review,llm6_evidence_basis,llm6_note
7334,Bloodborne,2015,Adventure | Role-playing (RPG),Action | Fantasy | Horror | Open world,Co-operative | Multiplayer | Single player,5490.0,1806.0,1824.0,"An action RPG in which the player embodies a Hunter who, after being transfused with the mysterious blood local to the city of Yharnam, sets off into a ""night of the Hunt"", an extended night in which Hunters may phase in and out of dream and reality in order to thin the outbreak of abominable beasts that plague the land and, for the more resilient and insightful Hunters, uncover the answers to the Hunt's many mysteries.","A Hunter arrives in the decaying Gothic city of Yharnam seeking a mysterious cure known as Paleblood. After receiving a blood transfusion, they awaken in a spectral realm called the Hunter's Dream, bound in service to forces they do not yet understand. Yharnam's inhabitants have been afflicted by a blood-borne plague that transforms them into beasts, and the Healing Church, once the city's salvation, guards secrets tied to ancient eldritch beings called the Great Ones.

To find Paleblood and escape the Dream, the Hunter must slay the beasts plaguing Yharnam and trace the plague to its source, uncovering the hidden connections between the Church, the College of Byrgenwerth, and the Great Ones lurking at the edges of reality.",The Hunter,customizable_but_defined,Explorer/Seeker,Hero/Warrior,Sage/Investigator,2,2,False,metadata_inference,Custom hunter seeks truth/cure in Gothic horror.
128,Assassin's Creed,2007,Adventure | Platform,Action | Fantasy | Historical | Open world | Sandbox | Science fiction | Stealth,Single player,5326.0,1770.0,1774.0,"Assassin's Creed is a non-linear action-adventure video game, during which the player controls a 12th-century Levantine Assassin named Altaïr Ibn-La'Ahad during the Third Crusade, whose life is experienced through the Animus by his 21st century descendant, Desmond Miles.","Desmond Miles, a bartender, is kidnapped by the company Abstergo Industries for use as a test subject in the ""Animus,"" a device that can simulate genetic memory. Abstergo intends to put Desmond in the device to recall the memories of his ancestor, Altaïr Ibn-La'Ahad, a member of the Assassin Brotherhood in the year 1191, who lived during the Third Crusade in the Holy Land. Initially, Desmond has trouble adjusting to the device, but eventually relives Altaïr's exploits over the next several days. The game then primarily changes to Altaïr's point-of-view, with occasional transitions to Desmond, due to problems with the Animus or onset of the Bleeding Effect.

The game opens with Desmond entering Altaïr's memory, but he soon faces synchronization problems. On this, Lucy Stillman and Warren Vidic's voices can be heard, arguing over Desmond's safety within the Animus. After experiencing a few problems, Desmond exits the virtual machine and Vidic briefs him about the Animus' inner workings, before initializing the machine's tutorial program. After Desmond is done with the tutorial, he enters the closest synchronizable memory of Altaïr; Lucy adds that Desmond has to relive key moments of Altaïr's life to increase his synchronization, before reaching the final memory which holds the information that Abstergo is seeking.

Altaïr is first shown attempting to retrieve one of a series of artifacts known as the ""Pieces of Eden"" from Solomon's Temple with the help of Malik Al-Sayf, and his brother Kadar, but they are stopped by Robert de Sablé, Grand Master of the Knights Templar and sworn enemy of the Assassins. While retrieving the treasure, Altaïr breaks all three tenets of the Assassins' Creed in an attempt to kill Robert, but he ultimately fails. In the following commotion, Malik's brother is killed, and Malik's left arm is crippled and later amputated. When Altaïr returns to the Assassins' stronghold at Masyaf with apologies, Malik, who survived de Sablé, comes back with the artifact and disparages Altaïr because of his arrogance.

After narrowly defeating a retaliatory attack by the Templars, Al Mualim, leader of the Assassins, demotes Altaïr to a novice but gives him another chance to rise through the ranks of the Brotherhood. Al Mualim assigns Altaïr the task of assassinating nine key figures across the Holy Land in Jerusalem, Acre and Damascus, aiming to bring peace between the Crusader and Saracen forces. Each target is based on an actual historical figure from the Third Crusade, including Majd Addin, Garnier de Naplouse, Jubair al Hakim, Abu'l Nuqoud, Sibrand, William of Montferrat, and Robert de Sablé.

Altaïr completes each task, learning how each target is connected to Robert and the Templars and how together they aim to end the Crusades and place the Holy Land under their own control. With men on both sides killed, he discovers that Robert's last plot is to attempt to unite the Christian and Muslim forces against their new common enemy, the Assassins themselves. Altaïr defeats de Sablé before Richard the Lionheart, failing to convince the King that an end to the war would be welcome to both sides, but ending Robert's plot. From de Sablé, Altaïr discovers that Al Mualim was himself a member of the Templars and used the Assassin to kill the other members who held the secret to the treasure's power, so that he could selfishly keep the artifact for himself.

Altaïr quickly returns to Masyaf and approaches his master, who reveals the truth to him: the Piece of Eden, which he had recovered through the help of Altaïr directly before his transgression, creates illusions. He denounces religion and other seemingly supernatural events (e.g. the Ten Plagues of Egypt, the parting of the Red Sea, and the presence of the Greek Gods in the Trojan War) as illusions caused by the Piece, and then states his intention to use the artifact to compel mankind into a brainwashed state, and in doing so, bringing an end to all conflict; Altaïr is eventually able to see through the deceptions created by the artifact to kill Al Mualim. When Altaïr recovers the artifact, the Piece of Eden activates, showing a holographic view of the world with numerous locations of other Pieces of Eden marked across the globe.

When the process is complete, Desmond learns that Abstergo is a modern-day front of the Templars, and they are already seeking other artifacts at locations identified in Altaïr's memories. Further, he learns that the modern-day Assassins had tried to rescue him before the memory had completed but had failed. Following this, Desmond was to be killed after an order from a high-ranking Templar, Alan Rikkin, but Lucy Stillman saves him from death and, at one point, tucks her ring finger into her palm, referring to the Assassins' tradition of cutting off the finger.

Though Desmond remains trapped in the Abstergo laboratory, his experience in the Animus has created a Bleeding Effect of Altaïr's life in his own, allowing Desmond to use Altaïr's Eagle Vision, which, in turn, allows him to see strange messages painted on the walls of his room and the floor of the lab. The messages all deal with various forms of the end of the world from different cultures, including several references to 21 December 2012, the date that Abstergo plans to launch a satellite that will ""permanently end the war."" It is hinted that this method would be by the same method that Al Mualim hypnotized Masyaf, only on a larger scale. Finally, the game ends with Desmond wondering what the images all mean and who could have drawn them.",Altaïr Ibn-La'Ahad / Desmond Miles,fixed_dual,Rebel/Outlaw,Sage/Investigator,Explorer/Seeker,3,3,False,general_knowledge,Animus framing with assassin ancestor.
1068,Super Mario Bros. 3,1988,Platform,Action | Fantasy,Multiplayer | Single player,5112.0,1704.0,1704.0,"Super Mario Bros. 3, the third entry in the Super Mario Bros. series and Super Mario franchise, sees Mario or Luigi navigate a nonlinear world map containing platforming levels and optional minigames and challenges. The game features more diverse movement options and new items alongside more complex level designs and boss battles.","The Mushroom Kingdom has been a peaceful place thanks to the brave deeds of Mario and Luigi. The Mushroom Kingdom forms an entrance to the Mushroom World where all is not well. Bowser has sent his 7 children to make mischief as they please in the normally peaceful Mushroom World. They stole the royal magic wands from each country in the Mushroom World and used them to turn their kings into animals. Mario and Luigi must recover the royal magic wands from Bowser's 7 kids to return the kings to their true forms. ""Goodbye and good luck!,"" said the Princess and Toad as Mario and Luigi set off on their journey deep into the Mushroom World.",Mario,fixed_named_single,Hero/Warrior,Innocent,Jester/Trickster,3,3,False,general_knowledge,Mario platform/adventure lead.
1026,The Legend of Zelda: A Link to the Past,1991,Adventure | Puzzle,Action | Fantasy,Single player,5065.0,1687.0,1688.0,"Venture back to Hyrule and an age of magic and heroes. The predecessors of Link and Zelda face monsters on the march when a menacing magician takes over the kingdom. Only you can prevent his evil plot from shattering the land of Hyrule.

In your quest, you'll venture into twisting mazes, dungeons, palaces and shadowy forests. Test your mettle with mighty swords and magical weapons. Or heft a boulder and hurl it at your enemies. If the going gets tough, dive into a river - you can swim to escape! Learn powerful spells, locate magical artifacts and solve the mysteries of the evil magician and the hidden realm of Hyrule.","The wizard Agahnim has been abducting descendants of the seven sages, intent on using their power to obliterate the barrier leading to the Dark World. One of the descendants happens to be Princess Zelda, who informs Link of her plight. Armed with a trusty sword and shield, Link begins a journey that will take him through treacherous territory.",Link,fixed_named_single,Hero/Warrior,Explorer/Seeker,Innocent,3,3,False,general_knowledge,Zelda mainline lead.
375,Metal Gear Solid,1998,Adventure | Shooter | Tactical,Action | Science fiction | Stealth | Survival,Single player,5041.0,1679.0,1680.0,"Metal Gear Solid is a stealth game created by Hideo Kojima which follows the MSX2 video games Metal Gear and Metal Gear 2: Solid Snake. Despite a transition to 3D, Metal Gear Solid's gameplay remains similar to his predecessors. The game utilizes a traditional top-down view and the player must navigate the protagonist Solid Snake through the game's areas without being detected. Detection will set off an alarm which draws armed enemies to his location. Conversations with Snake's allies and cutscenes are used extensively to advance the plot and gain more insight into it. Metal Gear Solid is regarded as one of the greatest and most important video games of all time, and helped popularize the stealth genre and in-engine cinematic cutscenes.","Metal Gear Solid takes place in an alternate history in which the Cold War continued into the 1990s, ending at some point near the end of the 20th century. Coming out of retirement, special agent Solid Snake is called back into the line of duty to take on rogue members of Foxhound, a crack government anti-terrorist squad threatening to launch nuclear-weapons on the White House unless they receive their $1 billion ransom. With only 24 hours to sabotage Foxhound's threat, Snake must infiltrate enemy lines, rescue the two hostages and thwart the terrorists' plans. The demons of his past will challenge him and his will as a soldier shall be tested, as Snake fights to save the world from nuclear devastation.",Solid Snake,fixed_named_single,Rebel/Outlaw,Sage/Investigator,Hero/Warrior,3,3,False,general_knowledge,Stealth operative protagonist.
974,Resident Evil 4,2005,Adventure | Shooter,Action | Horror | Survival,Single player,4982.0,1654.0,1659.0,"Resident Evil 4 is the sixth installment in the Resident Evil series and is often noted for its departure from the fixed camera angles of earlier titles. It introduced an over-the-shoulder third-person perspective, faster-paced gunplay, and more dynamic controls. The game features larger, more open environments and a new AI system that enables enemies to coordinate attacks and attempt to corner the player. Enemies exhibit more human-like behavior, such as climbing ladders, opening doors, and using weapons.","The game's main protagonist is Leon S. Kennedy, one of the few survivors of the Raccoon City incident, who was recruited and trained by the US Government to become a special agent after they learned of his actions in Raccoon City. Now an agent for a special security agency, Leon is sent to Spain on a mission to rescue Ashley Graham, the President's daughter, who has been kidnapped by a mysterious cult organization.",Leon S. Kennedy,fixed_named_single,Hero/Warrior,Caregiver/Guardian,Sage/Investigator,3,3,False,general_knowledge,Leon rescues Ashley and investigates the outbreak.
132,Warcraft III: Reign of Chaos,2002,Real Time Strategy (RTS) | Strategy,Fantasy | Warfare,Multiplayer | Single player,4906.0,1630.0,1634.0,"Warcraft III: Reign of Chaos is a real-time strategy game set in the high fantasy world of Azeroth. Players control one of four factions, the Human Alliance, Orcish Horde, Night Elves, or Undead Scourge, each with unique units, structures, and hero characters that gain experience and abilities through combat. The single-player campaign follows a sequential narrative across four faction-specific chapters. Multiplayer is supported through Battle.net with ranked matchmaking. The game includes a World Editor that allows players to create custom maps and scenarios, which gave rise to influential community creations including the mod Defense of the Ancients.","Several years after the wars between Humans and Orcs, an uneasy peace has settled over Azeroth. The defeated Orcs languish in internment camps, and the Human Alliance has begun to fracture without a common enemy. But a demonic army called the Burning Legion, having once corrupted the Orcs and sent them to invade Azeroth, is preparing a second assault on the world.

The story follows three paths that intertwine. Prince Arthas Menethil, a young paladin of Lordaeron, investigates a spreading plague that transforms its victims into undead servants, and his obsessive pursuit of the plague's source drives him toward a cursed blade and a terrible transformation. Orc warchief Thrall, warned by a mysterious prophet of the coming destruction, leads his people across the sea to the forgotten continent of Kalimdor in search of a new home. And Tyrande Whisperwind, leader of the ancient Night Elves, must defend her sacred lands from both the newcomers and the demonic invasion that follows. As the Burning Legion marches toward a source of power that could corrupt the entire world, these three factions must decide whether old hatreds or survival will define them.",,strategy_or_systemic_role,Not applicable,Uncertain,Uncertain,2,2,False,metadata_inference,Faction/strategy control without single protagonist.
126,Diablo II,2000,Hack and slash/Beat 'em up | Role-playing (RPG),Action | Fantasy,Co-operative | Multiplayer | Single player,4682.0,1558.0,1560.0,"Like its predecessor, Diablo II is an action role-playing game with dark fantasy and horror themes. The player controls a new hero attempting to stop the destruction unleashed by Diablo's return. The game's 4 acts feature a variety of locations and settings to explore and battle in, as well as an increased cast of characters to play as and interact with. Diablo II had become one of the most popular online games of all time. Major factors that contributed to Diablo II's success include what fans found to be addictive hack-and-slash gameplay and free access to Battle.net.","Diablo II takes place after the end of the previous Diablo in the world of Sanctuary. An unnamed warrior defeated Diablo and attempted to contain the Lord of Terror's essence within his own body. Since then, the hero has become corrupted by the demon's spirit, causing demons to enter the world around him and wreak havoc. Again, it is up to a single mortal to stand in Diablo's path and to prevent the Three Prime Evils from reuniting. If that mortal fails, the world of Sanctuary will become a permanent outpost of the Burning Hells.",Player hero,customizable_but_defined,Hero/Warrior,Magician/Transformer,Explorer/Seeker,2,2,False,metadata_inference,Class-based hero against demonic threat.
512,Uncharted 3: Drake's Deception,2011,Adventure | Platform | Shooter,Action | Fantasy | Historical,Co-operative | Multiplayer | Single player,4373.0,1447.0,1455.0,"A search for the fabled ""Atlantis of the Sands"" propels fortune hunter Nathan Drake on a trek into the heart of the Arabian Desert. When the terrible secrets of this lost city are unearthed, Drake's quest descends into a desperate bid for survival that strains the limits of his endurance and forces him to confront his deepest fears.","The story begins with Nathan ""Nate"" Drake (Nolan North) and Victor ""Sully"" Sullivan (Richard McGonagle) entering a pub in London to meet with a man named Talbot (Robin Atkin Downes), who is interested in purchasing Nate's ring. During the meeting, Nate and Sully accuse Talbot of offering them counterfeit banknotes, and a fight ensues. After fighting their way past Talbot's thugs, Nate and Sully emerge in an alleyway, where they are surrounded and subdued by Charlie Cutter (Graham McTavish), Talbot's cohort. They are then approached by Talbot's client, Katherine Marlowe (Rosalind Ayres), who steals Drake's ring. Nate attempts to go after her, but Cutter guns him and Sully down, seemingly killing them.

The story flashes back to 20 years earlier, where a teenage Nathan Drake (Billy Unger) explores a museum in Cartagena, Colombia, in search of Sir Francis Drake's ring, but is thrown out after guards suspect him of being a thief. Intrigued by the actions of Victor Sullivan, who he does not know at this point, Nate follows Sully to a keymaker and pickpockets him, before returning to the museum. He steals the ring, but before he can leave he is caught by Marlowe, her henchmen, and Sully, who was working for her. Nate flees with the ring, with Marlowe's agents in pursuit, but Sully rescues Nate from the agents and decides to act as a mentor to him.",Nathan Drake,fixed_named_single,Explorer/Seeker,Jester/Trickster,Rebel/Outlaw,3,3,False,general_knowledge,Treasure-hunter adventure lead.
1372,Counter-Strike: Global Offensive,2012,Shooter | Tactical,Action | Warfare,Multiplayer,4022.0,1334.0,1339.0,"Counter-Strike: Global Offensive is a team-based multiplayer first-person shooter developed by Valve and Hidden Path Entertainment. Two teams, Terrorists and Counter-Terrorists, compete in objective-based rounds across various game modes including bomb defusal, hostage rescue, and deathmatch. The game features an economy system where players purchase weapons and equipment at the start of each round based on performance in previous rounds. Competitive matchmaking, community servers, and a robust skin trading ecosystem support a large active player base.",,,no_clear_protagonist,Not applicable,Uncertain,Uncertain,2,2,False,metadata_inference,Roster/multiplayer title without a single protagonist.
