appid,name_from_app_list,absolute_index,details_from_cache,steamspy_from_cache,forced_include,bucket,matched_terms,relevance_score,steamspy_tags,steam_type,steam_name,is_free,required_age,release_date_coming_soon,steam_release_date,developers,publishers,steam_genres,steam_categories,platform_windows,platform_mac,platform_linux,metacritic_score,recommendations_total,short_description,header_image,website,support_url,support_email,steamspy_owners,steamspy_median_forever,steamspy_average_forever,total_reviews,total_positive,total_negative,total_ratings_pos_neg,positive_ratio,review_score,review_score_desc,reviews_from_cache,include_in_corpus,exclusion_reason,original_release_year,original_release_decade,game_series,protagonist,protagonist_type,protagonist_gender,primary_archetype,secondary_archetype,shadow_load_0_3,player_projection_0_3,narrative_complexity_0_3,corpus_notes,coding_source,review_error,run_id,run_start_index,run_scan_limit,scanned_at_utc,player_shaped_arc,ensemble_archetypes,llm_primary_archetype_suggestion,llm_secondary_archetype_suggestion,llm_shadow_load_suggestion,human_validation_primary_mode,human_validation_secondary_mode,human_validation_agreement_score,human_validation_votes_json
413150,Stardew Valley,7038,True,False,False,RPG/character progression,"RPG, Simulation",4,,game,Stardew Valley,False,0,False,"Feb 26, 2016",ConcernedApe,ConcernedApe,"Indie, RPG, Simulation","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",True,True,True,89,870934,"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/413150/header.jpg?t=1754692865,http://www.stardewvalley.net,,support@stardewvalley.net,,,,1013081,997645,15436,1013081,0.9847633111271458,9,Overwhelmingly Positive,True,,,,,,,,,,,,,,,,,start5000_limit5000_20260614T200239Z,5000,5000,2026-06-14T20:08:39.952405+00:00,,,,,,,,,
227300,Euro Truck Simulator 2,1591,True,True,False,systemic/player-role,"Adventure, Immersive Sim, Management, Open World, Simulation, Third Person",9,"Driving, Transportation, Simulation, Open World, Automobile Sim, Realistic, Moddable, Relaxing, Exploration, Economy, Immersive Sim, Management, Atmospheric, Multiplayer, Controller, Family Friendly, Third Person, Adventure, Casual, Indie",game,Euro Truck Simulator 2,False,0,False,"Oct 12, 2012",SCS Software,SCS Software,"Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Partial Controller Support, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",True,True,True,79,767260,"Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/227300/9a81dc3126c56637297b654f9dcac057cfd79b77/header.jpg?t=1773641450,https://eurotrucksimulator2.com/,https://eurotrucksimulator2.com/support.php,support@eurotrucksimulator2.com,"10,000,000 .. 20,000,000",0,0,923186,899685,23501,923186,0.9745435914322792,9,Overwhelmingly Positive,True,,,,,,,,,,,,,,,,,start0_limit5000_20260614T210511Z,0,5000,2026-06-14T21:06:35.683434+00:00,,,,,,,,,
381210,Dead by Daylight,5955,True,False,False,action/adventure protagonist,Action,1,,game,Dead by Daylight,False,17,False,"Jun 14, 2016",Behaviour Interactive Inc.,Behaviour Interactive Inc.,Action,"Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Color Alternatives, Custom Volume Controls, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",True,False,False,,661905,"10 years of horror. 10 years of jump scares and close calls. 10 years of brutal sacrifices and thrilling escapes. Trapped forever in a realm of eldritch evil where even death is not an escape, four determined Survivors face a bloodthirsty Killer in a vicious game of nerve and wits.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/381210/8512297f0f02ec3e592f45b21779f61624941964/header_alt_assets_6.jpg?t=1778880603,http://www.deadbydaylight.com,https://support.deadbydaylight.com,,,,,903589,709360,194229,903589,0.7850471840626656,6,Mostly Positive,True,,,,,,,,,,,,,,,,,start5000_limit5000_20260614T200239Z,5000,5000,2026-06-14T20:04:57.018628+00:00,,,,,,,,,
292030,The Witcher 3: Wild Hunt,2974,True,True,False,narrative/protagonist-heavy,"Action, Action RPG, Adventure, Choices Matter, Multiple Endings, Open World, RPG, Sandbox, Singleplayer, Story Rich, Third Person",26,"Open World, RPG, Story Rich, Atmospheric, Mature, Fantasy, Adventure, Singleplayer, Nudity, Choices Matter, Great Soundtrack, Third Person, Medieval, Action, Multiple Endings, Action RPG, Dark Fantasy, Magic, Dark, Sandbox",game,The Witcher 3: Wild Hunt,False,17,False,"May 18, 2015",CD PROJEKT RED,CD PROJEKT RED,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Remote Play on TV, HDR available, Family Sharing",True,False,False,93,817903,"You are Geralt of Rivia, mercenary monster slayer. Before you stands a war-torn, monster-infested continent you can explore at will. Your current contract? Tracking down Ciri — the Child of Prophecy, a living weapon that can alter the shape of the world.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/292030/ad9240e088f953a84aee814034c50a6a92bf4516/header.jpg?t=1768303991,https://www.thewitcher.com/witcher3,http://en.cdprojektred.com/support,http://en.cdprojektred.com/contact-support/,"20,000,000 .. 50,000,000",0,0,871777,843708,28069,871777,0.9678025458345424,9,Overwhelmingly Positive,True,,,,,,,,,,,,,,,,,start0_limit5000_20260614T210511Z,0,5000,2026-06-14T21:09:08.810146+00:00,,,,,,,,,
739630,Phasmophobia,18371,False,False,False,action/adventure protagonist,Action,1,,game,Phasmophobia,False,0,False,"Sep 18, 2020",Kinetic Games,Kinetic Games,"Action, Indie, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Trading Cards, Camera Comfort, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Surround Sound, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",True,False,False,,677621,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost-hunting equipment at your disposal in order to gather as much evidence as you can.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/739630/c227a2855aba60f3657bc0c3a46515b8c41fb2b6/header.jpg?t=1780397989,http://kineticgames.co.uk/,http://discord.gg/phasmophobia,contact@kineticgames.co.uk,,,,831653,785941,45712,831653,0.9450347681064097,8,Very Positive,False,,,,,,,,,,,,,,,,,start10000_limit20000_20260615T073020Z,10000,20000,2026-06-15T13:59:37.824850+00:00,,,,,,,,,
346110,ARK: Survival Evolved,4650,True,True,False,RPG/character progression,"Action, Adventure, Base-Building, Building, First-Person, Open World, Open World Survival Craft, RPG, Sandbox, Singleplayer, Survival",16,"Open World Survival Craft, Survival, Multiplayer, Open World, Dinosaurs, Crafting, Building, Adventure, Base-Building, Co-op, Action, Sandbox, First-Person, Massively Multiplayer, Singleplayer, Early Access, RPG, Dragons, Sci-fi, Indie",game,ARK: Survival Evolved,False,0,False,"Aug 27, 2017","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA","Action, Adventure, Indie, Massively Multiplayer, RPG","Single-player, Multi-player, MMO, Co-op, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Includes level editor, Remote Play on Tablet, Family Sharing",True,True,False,70,579858,"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/346110/header.jpg?t=1765677889,http://www.playark.com,https://support.survivetheark.com/hc/en-us,support@studiowildcard.com,"20,000,000 .. 50,000,000",0,0,769566,641247,128319,769566,0.8332579661783395,8,Very Positive,True,,,,,,,,,,,,,,,,,start0_limit5000_20260614T210511Z,0,5000,2026-06-14T21:16:49.031392+00:00,,,,,,,,,
236390,War Thunder,1725,True,True,False,systemic/player-role,"Action, Shooter, Simulation, Third Person, Third-Person Shooter",6,"Free to Play, Simulation, Vehicular Combat, Combat, World War II, Flight, VR, War, Military, Tanks, Multiplayer, Naval Combat, Modern, Massively Multiplayer, Cold War, Realistic, Shooter, Action, Third Person, Third-Person Shooter",game,War Thunder,True,0,False,"Aug 15, 2013",Gaijin Entertainment,Gaijin Network Ltd,"Action, Massively Multiplayer, Simulation, Free To Play","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, VR Supported, Steam Trading Cards, In-App Purchases, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Surround Sound, Remote Play on Phone, Remote Play on Tablet",True,True,True,81,1976,"War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/236390/ceff9434460880755b42a90b8915e87dff4482ad/header.jpg?t=1780485515,http://warthunder.com/,https://support.gaijin.net/,https://support.gaijin.net/,"20,000,000 .. 50,000,000",0,0,754351,545505,208846,754351,0.7231447959901955,6,Mostly Positive,True,,,,,,,,,,,,,,,,,start0_limit5000_20260614T210511Z,0,5000,2026-06-14T21:06:41.048143+00:00,,,,,,,,,
242760,The Forest,1818,True,True,False,systemic/player-role,"Action, Adventure, Building, First-Person, Horror, Open World, Open World Survival Craft, Sandbox, Simulation, Singleplayer, Survival, Survival Horror, Zombies",20,"Open World Survival Craft, Survival, Open World, Horror, Crafting, Adventure, Building, Survival Horror, First-Person, Action, Exploration, Sandbox, Singleplayer, Atmospheric, Simulation, Gore, Realistic, Indie, Zombies, Early Access",game,The Forest,False,0,False,"Apr 30, 2018",Endnight Games Ltd,Endnight Games Ltd,"Action, Adventure, Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Tracked Controller Support, VR Supported, Partial Controller Support, Steam Cloud, Family Sharing",True,False,False,83,573080,"As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/242760/header.jpg?t=1699381053,http://survivetheforest.com/,,support@endnightgame.com,"20,000,000 .. 50,000,000",0,0,673120,643082,30038,673120,0.955374970287616,9,Overwhelmingly Positive,True,,,,,,,,,,,,,,,,,start0_limit5000_20260614T210511Z,0,5000,2026-06-14T21:06:44.627589+00:00,,,,,,,,,
218620,PAYDAY 2,1460,True,True,False,RPG/character progression,"Action, FPS, First-Person, Looter Shooter, RPG, Shooter, Simulation, Singleplayer, Stealth, Strategy, Tactical",14,"Co-op, Action, FPS, Heist, Multiplayer, Looter Shooter, Online Co-Op, Stealth, Crime, Shooter, Team-Based, First-Person, Great Soundtrack, Gun Customization, Tactical, PvE, Strategy, Singleplayer, Funny, Simulation",game,PAYDAY 2,False,18,False,"Aug 13, 2013",OVERKILL - a Starbreeze Studio.,Starbreeze Entertainment,"Action, RPG","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Trading Cards, In-App Purchases, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",True,False,True,79,443815,"PAYDAY 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas, Hoxton, Wolf and Chains - as they descend on Washington DC for an epic crime spree.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/218620/header.jpg?t=1779319712,https://www.paydaythegame.com/payday2/,https://www.paydaythegame.com/payday2/support/,,"20,000,000 .. 50,000,000",0,0,672783,600910,71873,672783,0.8931706062727507,8,Very Positive,True,,,,,,,,,,,,,,,,,start0_limit5000_20260614T210511Z,0,5000,2026-06-14T21:06:25.291599+00:00,,,,,,,,,
230410,Warframe,1628,True,True,False,narrative/protagonist-heavy,"Action, Action RPG, Character Customization, Looter Shooter, Lore-Rich, RPG, Shooter, Singleplayer, Third Person, Third-Person Shooter",17,"Free to Play, Action RPG, Looter Shooter, Third-Person Shooter, Action, RPG, Third Person, Character Customization, Massively Multiplayer, Online Co-Op, Co-op, PvE, Sci-fi, Singleplayer, Space, Shooter, Lore-Rich, Hack and Slash, Parkour, Ninja",game,Warframe,True,17,False,"Mar 25, 2013",Digital Extremes,Digital Extremes,"Action, RPG, Free To Play","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Camera Comfort, Color Alternatives, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Surround Sound, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, HDR available",True,False,False,69,2882,Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/230410/60ce7425b864dd3c0dd855bfc66004c6f9ca4844/header.jpg?t=1778595605,http://www.warframe.com,http://support.warframe.com/,,"20,000,000 .. 50,000,000",0,0,665729,583999,81730,665729,0.8772323272683029,8,Very Positive,True,,,,,,,,,,,,,,,,,start0_limit5000_20260614T210511Z,0,5000,2026-06-14T21:06:36.963474+00:00,,,,,,,,,
