a,h,pn,pt,pc,p,s,t,ac,su,sh,pp,nc,inc,ex,mr,eb,note,custom_id,split_label
945360,n,Crewmates and impostors,nop,3,NA,NA,NA,0,0,0,2,0,n,multi,False,g,Social deduction roles only,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
218620,y,PAYDAY gang,fen,2,REB,SHA,JES,3,2,3,1,1,y,multi,False,g,Playable criminal heist ensemble,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
242760,y,Eric LeBlanc,fns,3,CAR,HER,EVE,3,3,1,1,2,y,none,False,g,Father searches for son,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
230410,y,Tenno Operator,cbd,3,HER,MAG,EXP,3,3,1,3,3,y,multi,False,g,Custom space-ninja warrior,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
1085660,y,The Guardian,cbd,3,HER,MAG,EXP,3,2,1,3,2,y,multi,False,g,Custom resurrected protector,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
252950,n,Cars/teams,spr,3,NA,NA,NA,0,0,0,1,0,n,spr,False,g,"Vehicle sport, no protagonist",steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
304930,y,Zombie survivor,pav,2,EVE,EXP,HER,1,1,0,3,0,m,multi,False,g,Minimal survival avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
892970,y,Fallen Viking,cbd,3,HER,EXP,CRE,2,2,1,3,1,y,multi,False,g,Custom Viking proves worth,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
322330,y,The Survivors,fen,3,EVE,EXP,JES,2,2,1,1,1,y,multi,False,g,Selectable stranded survivor ensemble,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
582010,y,The Hunter,cbd,3,HER,EXP,CAR,2,2,1,3,1,y,multi,False,g,Custom hunter protects expedition,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
1966720,y,Company employee,frs,2,EVE,EXP,JES,2,1,1,2,0,m,multi,False,g,Expendable corporate scavenger,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
1097150,n,Bean contestant,spr,3,NA,NA,NA,0,0,0,1,0,n,spr,False,g,Party competition avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
239140,y,Kyle Crane,fns,3,HER,EVE,SHA,3,3,2,1,2,y,none,False,g,Undercover survivor in outbreak,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
620,y,Chell,sfx,3,EVE,REB,SAG,3,3,0,2,2,y,none,False,g,Silent test subject escapes,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
221100,y,Post-Soviet survivor,pav,2,EVE,EXP,HER,1,1,1,3,0,m,multi,False,g,Open zombie survival avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
322170,n,Geometric icon,nop,3,NA,NA,NA,0,0,0,0,0,n,nop,False,g,Abstract rhythm platforming icon,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
367520,y,The Knight,nfx,3,EXP,HER,MAG,3,3,1,1,3,y,none,False,g,Silent vessel explores fallen kingdom,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
374320,y,Ashen One,cbd,3,HER,EXP,SHA,2,3,2,3,3,y,none,False,g,Custom undead seeker,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
377160,y,Sole Survivor,cbd,3,EVE,CAR,HER,3,3,1,3,2,y,none,False,g,Parent survivor searches wasteland,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
291550,n,Fighting legends,nop,3,NA,NA,NA,0,0,0,1,0,n,multi,False,g,"Arena roster, no main",steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
1623730,y,Pal tamer survivor,pav,2,EXP,CRE,REB,2,1,1,3,0,m,multi,False,g,Creature-survival sandbox avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
108600,y,Doomed survivor,pav,2,EVE,EXP,HER,2,1,1,3,0,m,none,False,g,Custom zombie apocalypse survivor,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
251570,y,Zombie survivor,pav,2,EVE,EXP,CRE,1,1,1,3,0,m,multi,False,g,Survival crafting avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
1172620,y,Pirate,pav,2,EXP,REB,JES,2,1,1,3,1,m,multi,False,g,Shared-world pirate avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
960090,n,Monkey defense commander,sys,3,NA,NA,NA,0,0,0,1,0,n,sys,False,g,Tower defense system role,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
275850,y,No Man's Sky,pav,2,EXP,INN,SAG,2,2,0,3,2,m,none,False,g,Traveler avatar in exploration survival,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
289070,n,Sid Meier’s Civilization VI,sys,3,NA,NA,NA,3,0,0,0,2,n,sys,False,g,"Civilization leadership system, not protagonist",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
444090,n,Paladins,nop,3,NA,NA,NA,3,0,0,1,1,n,multi,False,g,Hero shooter roster without main protagonist,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
648800,y,Raft,pav,2,EVE,EXP,CRE,2,2,0,3,1,m,none,False,g,Survivor avatar adrift building raft,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
250900,y,The Binding of Isaac: Rebirth,fns,3,INN,SHA,EVE,3,3,3,1,3,y,none,False,g,Isaac as abused child in dark fantasy,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
548430,y,Deep Rock Galactic,fen,2,HER,EXP,EVE,2,1,0,2,1,m,multi,False,g,Co-op dwarf miner ensemble,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
394360,n,Hearts of Iron IV,sys,3,NA,NA,NA,3,0,0,0,2,n,sys,False,g,Nation-scale grand strategy role,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
489830,y,The Elder Scrolls V: Skyrim Special Edition,cbd,3,HER,EXP,MAG,3,3,1,3,3,y,none,False,g,Custom Dragonborn with heroic destiny,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
1203220,n,NARAKA: BLADEPOINT,nop,3,NA,NA,NA,3,0,0,1,1,n,multi,False,g,"Battle royale roster, no main protagonist",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
284160,n,BeamNG.drive,sim,3,NA,NA,NA,3,0,0,0,0,n,sim,False,g,Vehicle physics simulator sandbox,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
814380,y,Sekiro: Shadows Die Twice - GOTY Edition,fns,3,HER,CAR,SHA,3,3,2,1,3,y,none,False,g,Wolf protects Kuro through violent trials,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
990080,y,Hogwarts Legacy,cbd,3,MAG,EXP,HER,3,3,1,3,2,y,none,False,g,Custom student with ancient magic,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
72850,y,The Elder Scrolls V: Skyrim,cbd,3,HER,EXP,MAG,3,3,1,3,3,y,none,False,g,Custom Dragonborn hero-seeker,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
264710,y,Subnautica,sfx,3,EXP,EVE,SAG,3,3,0,2,2,y,none,False,g,Lone survivor explores alien ocean,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
632360,n,Risk of Rain 2,nop,2,NA,NA,NA,3,0,0,1,1,n,multi,False,g,"Roguelike survivor roster, no main",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
1517290,n,Battlefield 2042,nop,3,NA,NA,NA,3,0,0,1,1,n,multi,False,g,Multiplayer specialists without campaign lead,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
49520,y,Borderlands 2,fen,3,REB,HER,JES,3,2,2,2,2,y,none,False,g,Vault Hunter ensemble of outlaw heroes,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
1293830,n,Forza Horizon 4,spr,3,NA,NA,NA,3,0,0,1,0,n,spr,False,g,"Racing driver role, sports structure",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
1063730,y,New World: Aeternum,pav,2,EXP,EVE,HER,2,1,1,3,2,m,none,False,g,MMO castaway adventurer avatar,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
107410,u,Arma 3,unc,1,UNC,UNC,UNC,1,1,1,2,2,m,unk,True,g,"Campaign lead exists, sandbox dominates",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
1118200,n,People Playground,nop,3,NA,NA,NA,3,0,0,0,0,n,nop,False,g,Physics sandbox with no protagonist,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
1145360,y,Hades,fns,3,REB,LOV,HER,3,3,1,1,3,y,none,False,g,Zagreus rebels to seek family,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
255710,n,Cities: Skylines,sim,3,NA,NA,NA,3,0,0,0,0,n,sim,False,g,"City management, no character protagonist",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
391540,y,Undertale,sfx,3,INN,EVE,MAG,3,3,2,3,3,y,none,False,g,Fallen child shaped by player morality,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
261550,y,Mount & Blade II: Bannerlord,cbd,3,RUL,HER,REB,2,2,1,3,2,y,none,False,g,Custom warlord building clan power,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
1237970,y,Titanfall 2,fdu,3,HER,CAR,EVE,3,3,0,1,2,y,none,False,g,Cooper and BT bond in combat,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
1326470,y,Sons Of The Forest,frs,2,EVE,EXP,HER,2,2,1,2,2,m,none,False,g,Operative survivor searches hostile island,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
1794680,n,Vampire Survivors,nop,3,NA,NA,NA,3,0,0,1,0,n,nop,False,g,Arcade roster with minimal narrative,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
1238810,y,Battlefield V,fen,2,HER,EVE,CAR,2,1,1,1,2,m,multi,True,g,War Stories anthology of protagonists,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
10,n,Counter-Strike,nop,3,NA,NA,NA,3,0,0,0,0,n,multi,False,g,"Competitive team shooter, no protagonist",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
594650,n,Hunt: Showdown 1896,nop,3,NA,NA,NA,3,0,0,1,1,n,multi,False,g,Extraction hunters lack main protagonist,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
203160,y,Tomb Raider Game of the Year,fns,3,EXP,HER,EVE,3,3,1,1,3,y,none,False,g,Lara Croft survival origin journey,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
220,y,Half-Life 2,sfx,3,HER,REB,SAG,3,3,0,2,2,y,none,False,g,Gordon Freeman silent resistance hero,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
976730,y,Halo: The Master Chief Collection,fen,2,HER,CAR,RUL,3,2,1,1,3,m,multi,True,g,Collection spans Chief and other leads,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
438100,n,VRChat,nop,3,NA,NA,NA,3,0,0,3,0,n,nop,False,g,Social platform without narrative protagonist,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
1144200,y,Ready or Not,frs,2,HER,CAR,SAG,2,2,1,2,1,m,none,False,g,SWAT commander role in tactical operations,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
238960,y,Path of Exile,cbd,3,EVE,HER,SHA,2,2,2,3,3,y,none,False,g,Custom exile survives dark Wraeclast,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
526870,y,Satisfactory,frs,2,CRE,EXP,EVE,2,2,1,2,1,m,none,False,g,FICSIT pioneer builds alien factory,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
22380,y,Fallout: New Vegas,cbd,3,EVE,REB,RUL,3,3,2,3,3,y,none,False,g,Courier reshapes Mojave politics,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
1468810,y,鬼谷八荒 Tale of Immortal,cbd,2,EXP,MAG,HER,2,2,1,3,2,m,none,True,g,Custom cultivator seeks immortal power,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
1551360,n,Forza Horizon 5,spr,3,NA,NA,NA,3,0,0,1,0,n,spr,False,g,Racing festival driver role,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
2246340,y,Monster Hunter Wilds,cbd,2,HER,EXP,CAR,2,2,0,3,2,m,none,True,g,Custom hunter in expedition narrative,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
1426210,y,It Takes Two,fdu,3,LOV,CAR,EVE,3,3,1,1,3,y,none,False,g,Cody and May repair marriage,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
427520,y,Factorio,frs,2,CRE,EXP,EVE,2,2,1,2,1,m,none,False,g,Stranded engineer industrializes alien world,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
311210,y,Call of Duty: Black Ops III,cbd,2,HER,SHA,SAG,2,2,2,2,2,m,none,True,g,Cybernetic soldier in fractured campaign,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
700330,n,SCP: Secret Laboratory,nop,3,NA,NA,NA,3,0,0,1,0,n,multi,False,g,"Asymmetric multiplayer roles, no lead",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
477160,y,Human Fall Flat,pav,2,JES,INN,EXP,2,1,0,3,0,m,none,False,g,Wobbly avatar solves comic physics puzzles,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
698780,y,Doki Doki Literature Club!,pav,2,EVE,LOV,INN,2,2,2,3,3,y,none,False,g,Self-insert club member in meta horror,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
393380,n,Squad,nop,3,NA,NA,NA,3,0,0,0,0,n,multi,False,g,Tactical multiplayer without protagonist,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
294100,n,RimWorld,sim,3,NA,NA,NA,3,0,0,0,2,n,sim,False,g,"Colony management storyteller, no single lead",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55
379720,y,Doom Slayer,sfx,3,HER,SHA,REB,3,3,2,1,1,y,none,False,g,Silent demon-slaying warrior,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
782330,y,Doom Slayer,sfx,3,HER,SHA,REB,3,3,2,1,2,y,none,False,g,Mythic silent warrior against Hell,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
8930,n,,sys,3,NA,NA,NA,3,0,0,0,0,n,sys,False,g,Civilization-scale strategy role,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
3164500,y,Player dealer,pav,2,REB,SHA,RUL,2,2,2,3,1,m,sim,True,m,Criminal business sandbox avatar,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
433850,n,,nop,3,NA,NA,NA,3,0,0,0,0,n,multi,False,g,Battle royale multiplayer avatars,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
1599340,y,Player adventurer,cbd,2,HER,EXP,MAG,2,2,0,3,2,m,multi,False,g,MMO hero seeking the Ark,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
534380,y,Aiden Caldwell,fns,3,HER,EXP,EVE,3,3,1,1,2,y,none,False,g,Pilgrim survivor seeking sister,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
1238840,y,War Stories soldiers,fen,2,HER,EVE,SHA,2,2,1,1,2,m,multi,False,g,Anthology ensemble of soldiers,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
435150,y,Godwoken,cbd,3,HER,MAG,EXP,3,3,1,3,3,y,none,False,g,Custom or origin Godwoken,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
268910,y,Cuphead and Mugman,fdu,3,JES,HER,INN,3,3,0,1,1,y,none,False,g,Mischievous brothers repay devil debt,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
3241660,n,,nop,2,NA,NA,NA,2,0,0,0,0,n,multi,True,u,"Co-op extraction avatars, little narrative",steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
281990,n,,sys,3,NA,NA,NA,3,0,0,0,0,n,sys,False,g,Empire-level grand strategy,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
646570,u,Selectable climber,unc,1,UNC,UNC,UNC,1,1,1,2,1,m,unk,True,g,"Selectable roguelike heroes, sparse story",steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
240,n,,nop,3,NA,NA,NA,3,0,0,0,0,n,multi,False,g,Competitive team shooter,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
2050650,y,Leon S. Kennedy,fns,3,HER,CAR,SAG,3,3,0,1,2,y,none,False,g,Agent rescuing Ashley,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
400,y,Chell,sfx,3,EVE,REB,SAG,3,3,0,2,2,y,none,False,g,Silent test subject escaping Aperture,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
518790,n,,sim,3,NA,NA,NA,3,0,0,0,0,n,sim,False,g,Hunting simulation role,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
1240440,y,Master Chief,fns,3,HER,CAR,SHA,3,3,1,1,2,y,none,False,g,Iconic Spartan protector,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
270880,n,,sim,3,NA,NA,NA,3,0,0,0,0,n,sim,False,g,Truck driving simulator,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
901583,y,Niko Bellic,fns,3,SHA,EVE,REB,3,3,3,1,3,y,none,False,g,Immigrant criminal antihero,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
12210,y,Niko Bellic,fns,3,SHA,EVE,REB,3,3,3,1,3,y,none,False,g,Immigrant criminal antihero,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
552520,y,Junior Deputy,cbd,3,HER,REB,CAR,2,2,1,3,2,y,none,False,g,Custom deputy resists cult,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
883710,y,Leon and Claire,fdu,3,HER,CAR,EVE,3,3,0,1,2,y,multi,False,g,Dual survivors in Raccoon City,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
812140,y,Kassandra or Alexios,cbd,3,EXP,HER,REB,3,3,1,2,3,y,none,False,g,Mercenary seeker in Greek odyssey,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
1222670,n,,sim,3,NA,NA,NA,3,0,0,0,0,n,sim,False,g,Life simulation sandbox,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
1229490,y,V1,nfx,3,SHA,REB,HER,3,3,3,1,1,y,none,False,g,Blood-fueled machine in Hell,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
319630,y,Max Caulfield,fns,3,INN,MAG,LOV,3,3,0,2,3,y,none,False,g,Teen photographer rewinds time,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
1222140,y,"Kara, Connor, Markus",fen,3,EXP,REB,CAR,3,3,1,1,3,y,multi,False,g,Android ensemble seeking identity,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
2694490,y,Exile,cbd,2,EVE,HER,EXP,2,2,1,3,2,m,none,True,m,Custom ARPG exile hero,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
588650,y,The Beheaded,nfx,3,SHA,EXP,REB,2,3,3,1,2,y,none,False,g,Amnesiac head possessing corpses,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
48700,y,Player adventurer,pav,2,RUL,EXP,HER,2,2,1,3,2,m,none,False,g,Sandbox warrior rising to lordship,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
1716740,y,Constellation recruit,cbd,3,EXP,HER,SAG,3,3,0,3,3,y,none,False,g,Custom space explorer touched by artifact,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
211820,y,Protectorate survivor,cbd,2,EXP,CRE,HER,2,2,0,3,1,m,none,False,g,Custom survivor explores and builds,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
2183900,y,Demetrian Titus,fns,3,HER,CAR,SHA,3,3,1,1,2,y,none,False,g,Space Marine defending Imperium,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
813780,n,,sys,3,NA,NA,NA,3,0,0,0,0,n,sys,False,g,Historical civilization strategy,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
379430,y,Henry,fns,3,EVE,HER,EXP,3,3,1,1,3,y,none,False,g,Blacksmith's son seeking revenge,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
1172380,y,Cal Kestis,fns,3,HER,EVE,MAG,3,3,1,1,3,y,none,False,g,Hidden Jedi survivor rebuilds hope,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
1593500,y,Kratos,fns,3,SHA,CAR,HER,3,3,3,1,3,y,none,False,g,Violent god learning fatherhood,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
1332010,y,Stray cat,nfx,3,EXP,INN,CAR,3,3,0,1,2,y,none,False,g,Lost cat explores robot city,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
306130,y,The Vestige,cbd,3,HER,EXP,MAG,2,2,1,3,2,m,multi,False,g,Custom MMO soul-shriven hero,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
2379780,n,,nop,3,NA,NA,NA,3,0,0,0,0,n,nop,False,g,Abstract poker roguelike,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
1782210,n,,nop,3,NA,NA,NA,3,0,0,0,0,n,multi,False,g,Multiplayer party competition,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
1811260,n,,spr,3,NA,NA,NA,3,0,0,0,0,n,spr,False,g,Football sports role,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
244210,n,,spr,3,NA,NA,NA,3,0,0,0,0,n,spr,False,g,Racing simulation role,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
304390,n,,nop,2,NA,NA,NA,2,0,0,0,0,n,multi,True,g,"Hero combat roster, no main protagonist",steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
262060,n,,sys,2,NA,NA,NA,2,0,0,0,0,n,sys,False,g,Estate management over disposable party,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
397540,y,Vault Hunters,fen,2,REB,HER,JES,2,2,1,2,2,m,multi,False,g,Selectable outlaw shooter heroes,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
70,y,Gordon Freeman,sfx,3,SAG,HER,EVE,3,3,0,2,2,y,none,False,g,Silent scientist becomes survivor-hero,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
444200,n,,nop,3,NA,NA,NA,3,0,0,0,0,n,multi,False,g,Multiplayer tank combat,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
