appid,llm5_has_clear_main_protagonist,llm5_protagonist_name,llm5_protagonist_type,llm5_protagonist_confidence_0_3,llm5_primary_archetype,llm5_secondary_archetype,llm5_tertiary_archetype,llm5_archetype_confidence_0_3,llm5_archetype_suitability_0_3,llm5_shadow_load_0_3,llm5_player_projection_0_3,llm5_narrative_complexity_0_3,llm5_suggested_include_in_final_corpus,llm5_exclusion_reason,llm5_needs_manual_review,llm5_evidence_basis,llm5_note,llm5_custom_id,llm5_split_label,llm5_model_used
553850,yes,Helldiver,fixed_role_single,2,Hero/Warrior,Jester/Trickster,Ruler/Leader,2,1,1,2,1,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Satirical expendable soldier role,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
1172470,no,Legends,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,1,1,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Battle royale roster,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
550,yes,Survivors,fixed_ensemble,3,Everyman/Orphan,Hero/Warrior,Caregiver/Guardian,2,2,1,1,1,yes,multiplayer_only_or_no_story_focus,False,general_knowledge,Fixed zombie-survivor ensemble,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
431960,no,None,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,0,0,no,insufficient_information,False,general_knowledge,Wallpaper utility,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
413150,yes,The Farmer,customizable_but_defined,3,Creator/Artist,Caregiver/Guardian,Explorer/Seeker,3,3,0,3,2,yes,none,False,general_knowledge,Custom farmer rebuilds community,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
227300,no,Truck driver,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,simulator_or_management,False,general_knowledge,Driving simulator role,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
1091500,yes,V,customizable_but_defined,3,Shadow/Antihero,Rebel/Outlaw,Explorer/Seeker,3,3,3,3,3,yes,none,False,general_knowledge,Custom mercenary with fixed arc,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
292030,yes,Geralt of Rivia,fixed_named_single,3,Hero/Warrior,Shadow/Antihero,Caregiver/Guardian,3,3,2,1,3,yes,none,False,general_knowledge,Named monster hunter guardian,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
381210,no,Survivors and killers,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,1,1,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Asymmetric roster, no main",steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
739630,yes,Ghost investigator,fixed_role_single,2,Sage/Investigator,Explorer/Seeker,Hero/Warrior,2,1,0,2,0,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Co-op paranormal investigator role,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
1086940,yes,Player character,customizable_but_defined,3,Hero/Warrior,Explorer/Seeker,Magician/Transformer,2,3,2,3,3,yes,none,False,general_knowledge,Custom or origin hero,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
236390,no,Vehicle crew,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,simulator_or_management,False,general_knowledge,Vehicle combat simulator,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
1174180,yes,Arthur Morgan,fixed_named_single,3,Shadow/Antihero,Hero/Warrior,Everyman/Orphan,3,3,3,1,3,yes,none,False,general_knowledge,Outlaw seeking redemption,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
346110,yes,ARK survivor,player_avatar_weakly_defined,2,Explorer/Seeker,Hero/Warrior,Creator/Artist,2,1,1,3,1,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Custom survival sandbox avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
1938090,uncertain,Task Force 141 soldiers,fixed_ensemble,1,Hero/Warrior,Ruler/Leader,Shadow/Antihero,2,1,1,1,2,maybe,multiplayer_only_or_no_story_focus,True,general_knowledge,Campaign ensemble within multiplayer hub,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
945360,no,Crewmates and impostors,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Social deduction roles only,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
218620,yes,PAYDAY gang,fixed_ensemble,2,Rebel/Outlaw,Shadow/Antihero,Jester/Trickster,3,2,3,1,1,yes,multiplayer_only_or_no_story_focus,False,general_knowledge,Playable criminal heist ensemble,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
242760,yes,Eric LeBlanc,fixed_named_single,3,Caregiver/Guardian,Hero/Warrior,Everyman/Orphan,3,3,1,1,2,yes,none,False,general_knowledge,Father searches for son,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
230410,yes,Tenno Operator,customizable_but_defined,3,Hero/Warrior,Magician/Transformer,Explorer/Seeker,3,3,1,3,3,yes,multiplayer_only_or_no_story_focus,False,general_knowledge,Custom space-ninja warrior,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
1085660,yes,The Guardian,customizable_but_defined,3,Hero/Warrior,Magician/Transformer,Explorer/Seeker,3,2,1,3,2,yes,multiplayer_only_or_no_story_focus,False,general_knowledge,Custom resurrected protector,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
252950,no,Cars/teams,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,sports_or_racing,False,general_knowledge,"Vehicle sport, no protagonist",steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
304930,yes,Zombie survivor,player_avatar_weakly_defined,2,Everyman/Orphan,Explorer/Seeker,Hero/Warrior,1,1,0,3,0,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Minimal survival avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
892970,yes,Fallen Viking,customizable_but_defined,3,Hero/Warrior,Explorer/Seeker,Creator/Artist,2,2,1,3,1,yes,multiplayer_only_or_no_story_focus,False,general_knowledge,Custom Viking proves worth,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
322330,yes,The Survivors,fixed_ensemble,3,Everyman/Orphan,Explorer/Seeker,Jester/Trickster,2,2,1,1,1,yes,multiplayer_only_or_no_story_focus,False,general_knowledge,Selectable stranded survivor ensemble,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
582010,yes,The Hunter,customizable_but_defined,3,Hero/Warrior,Explorer/Seeker,Caregiver/Guardian,2,2,1,3,1,yes,multiplayer_only_or_no_story_focus,False,general_knowledge,Custom hunter protects expedition,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
1966720,yes,Company employee,fixed_role_single,2,Everyman/Orphan,Explorer/Seeker,Jester/Trickster,2,1,1,2,0,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Expendable corporate scavenger,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
1097150,no,Bean contestant,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,sports_or_racing,False,general_knowledge,Party competition avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
239140,yes,Kyle Crane,fixed_named_single,3,Hero/Warrior,Everyman/Orphan,Shadow/Antihero,3,3,2,1,2,yes,none,False,general_knowledge,Undercover survivor in outbreak,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
620,yes,Chell,silent_fixed_protagonist,3,Everyman/Orphan,Rebel/Outlaw,Sage/Investigator,3,3,0,2,2,yes,none,False,general_knowledge,Silent test subject escapes,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
221100,yes,Post-Soviet survivor,player_avatar_weakly_defined,2,Everyman/Orphan,Explorer/Seeker,Hero/Warrior,1,1,1,3,0,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Open zombie survival avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
322170,no,Geometric icon,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,0,0,no,no_clear_protagonist,False,general_knowledge,Abstract rhythm platforming icon,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
367520,yes,The Knight,nonhuman_fixed_protagonist,3,Explorer/Seeker,Hero/Warrior,Magician/Transformer,3,3,1,1,3,yes,none,False,general_knowledge,Silent vessel explores fallen kingdom,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
374320,yes,Ashen One,customizable_but_defined,3,Hero/Warrior,Explorer/Seeker,Shadow/Antihero,2,3,2,3,3,yes,none,False,general_knowledge,Custom undead seeker,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
377160,yes,Sole Survivor,customizable_but_defined,3,Everyman/Orphan,Caregiver/Guardian,Hero/Warrior,3,3,1,3,2,yes,none,False,general_knowledge,Parent survivor searches wasteland,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
291550,no,Fighting legends,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Arena roster, no main",steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
1623730,yes,Pal tamer survivor,player_avatar_weakly_defined,2,Explorer/Seeker,Creator/Artist,Rebel/Outlaw,2,1,1,3,0,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Creature-survival sandbox avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
108600,yes,Doomed survivor,player_avatar_weakly_defined,2,Everyman/Orphan,Explorer/Seeker,Hero/Warrior,2,1,1,3,0,maybe,none,False,general_knowledge,Custom zombie apocalypse survivor,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
251570,yes,Zombie survivor,player_avatar_weakly_defined,2,Everyman/Orphan,Explorer/Seeker,Creator/Artist,1,1,1,3,0,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Survival crafting avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
1172620,yes,Pirate,player_avatar_weakly_defined,2,Explorer/Seeker,Rebel/Outlaw,Jester/Trickster,2,1,1,3,1,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Shared-world pirate avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
960090,no,Monkey defense commander,strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,pure_strategy_or_systemic_role,False,general_knowledge,Tower defense system role,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
275850,yes,No Man's Sky,player_avatar_weakly_defined,2,Explorer/Seeker,Innocent,Sage/Investigator,2,2,0,3,2,maybe,none,False,general_knowledge,Traveler avatar in exploration survival,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
289070,no,Sid Meier’s Civilization VI,strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,3,0,0,0,2,no,pure_strategy_or_systemic_role,False,general_knowledge,"Civilization leadership system, not protagonist",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
444090,no,Paladins,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,1,1,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Hero shooter roster without main protagonist,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
648800,yes,Raft,player_avatar_weakly_defined,2,Everyman/Orphan,Explorer/Seeker,Creator/Artist,2,2,0,3,1,maybe,none,False,general_knowledge,Survivor avatar adrift building raft,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
250900,yes,The Binding of Isaac: Rebirth,fixed_named_single,3,Innocent,Shadow/Antihero,Everyman/Orphan,3,3,3,1,3,yes,none,False,general_knowledge,Isaac as abused child in dark fantasy,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
548430,yes,Deep Rock Galactic,fixed_ensemble,2,Hero/Warrior,Explorer/Seeker,Everyman/Orphan,2,1,0,2,1,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Co-op dwarf miner ensemble,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
394360,no,Hearts of Iron IV,strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,3,0,0,0,2,no,pure_strategy_or_systemic_role,False,general_knowledge,Nation-scale grand strategy role,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
489830,yes,The Elder Scrolls V: Skyrim Special Edition,customizable_but_defined,3,Hero/Warrior,Explorer/Seeker,Magician/Transformer,3,3,1,3,3,yes,none,False,general_knowledge,Custom Dragonborn with heroic destiny,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
1203220,no,NARAKA: BLADEPOINT,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,1,1,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Battle royale roster, no main protagonist",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
284160,no,BeamNG.drive,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,simulator_or_management,False,general_knowledge,Vehicle physics simulator sandbox,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
814380,yes,Sekiro: Shadows Die Twice - GOTY Edition,fixed_named_single,3,Hero/Warrior,Caregiver/Guardian,Shadow/Antihero,3,3,2,1,3,yes,none,False,general_knowledge,Wolf protects Kuro through violent trials,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
990080,yes,Hogwarts Legacy,customizable_but_defined,3,Magician/Transformer,Explorer/Seeker,Hero/Warrior,3,3,1,3,2,yes,none,False,general_knowledge,Custom student with ancient magic,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
72850,yes,The Elder Scrolls V: Skyrim,customizable_but_defined,3,Hero/Warrior,Explorer/Seeker,Magician/Transformer,3,3,1,3,3,yes,none,False,general_knowledge,Custom Dragonborn hero-seeker,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
264710,yes,Subnautica,silent_fixed_protagonist,3,Explorer/Seeker,Everyman/Orphan,Sage/Investigator,3,3,0,2,2,yes,none,False,general_knowledge,Lone survivor explores alien ocean,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
632360,no,Risk of Rain 2,no_clear_protagonist,2,Not applicable,Not applicable,Not applicable,3,0,0,1,1,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Roguelike survivor roster, no main",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
1517290,no,Battlefield 2042,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,1,1,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Multiplayer specialists without campaign lead,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
49520,yes,Borderlands 2,fixed_ensemble,3,Rebel/Outlaw,Hero/Warrior,Jester/Trickster,3,2,2,2,2,yes,none,False,general_knowledge,Vault Hunter ensemble of outlaw heroes,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
1293830,no,Forza Horizon 4,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,3,0,0,1,0,no,sports_or_racing,False,general_knowledge,"Racing driver role, sports structure",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
1063730,yes,New World: Aeternum,player_avatar_weakly_defined,2,Explorer/Seeker,Everyman/Orphan,Hero/Warrior,2,1,1,3,2,maybe,none,False,general_knowledge,MMO castaway adventurer avatar,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
107410,uncertain,Arma 3,uncertain,1,Uncertain,Uncertain,Uncertain,1,1,1,2,2,maybe,unknown_game,True,general_knowledge,"Campaign lead exists, sandbox dominates",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
1118200,no,People Playground,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,no_clear_protagonist,False,general_knowledge,Physics sandbox with no protagonist,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
1145360,yes,Hades,fixed_named_single,3,Rebel/Outlaw,Lover,Hero/Warrior,3,3,1,1,3,yes,none,False,general_knowledge,Zagreus rebels to seek family,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
255710,no,Cities: Skylines,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,simulator_or_management,False,general_knowledge,"City management, no character protagonist",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
391540,yes,Undertale,silent_fixed_protagonist,3,Innocent,Everyman/Orphan,Magician/Transformer,3,3,2,3,3,yes,none,False,general_knowledge,Fallen child shaped by player morality,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
261550,yes,Mount & Blade II: Bannerlord,customizable_but_defined,3,Ruler/Leader,Hero/Warrior,Rebel/Outlaw,2,2,1,3,2,yes,none,False,general_knowledge,Custom warlord building clan power,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
1237970,yes,Titanfall 2,fixed_dual,3,Hero/Warrior,Caregiver/Guardian,Everyman/Orphan,3,3,0,1,2,yes,none,False,general_knowledge,Cooper and BT bond in combat,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
1326470,yes,Sons Of The Forest,fixed_role_single,2,Everyman/Orphan,Explorer/Seeker,Hero/Warrior,2,2,1,2,2,maybe,none,False,general_knowledge,Operative survivor searches hostile island,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
1794680,no,Vampire Survivors,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,1,0,no,no_clear_protagonist,False,general_knowledge,Arcade roster with minimal narrative,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
1238810,yes,Battlefield V,fixed_ensemble,2,Hero/Warrior,Everyman/Orphan,Caregiver/Guardian,2,1,1,1,2,maybe,multiplayer_only_or_no_story_focus,True,general_knowledge,War Stories anthology of protagonists,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
10,no,Counter-Strike,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Competitive team shooter, no protagonist",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
594650,no,Hunt: Showdown 1896,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,1,1,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Extraction hunters lack main protagonist,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
203160,yes,Tomb Raider Game of the Year,fixed_named_single,3,Explorer/Seeker,Hero/Warrior,Everyman/Orphan,3,3,1,1,3,yes,none,False,general_knowledge,Lara Croft survival origin journey,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
220,yes,Half-Life 2,silent_fixed_protagonist,3,Hero/Warrior,Rebel/Outlaw,Sage/Investigator,3,3,0,2,2,yes,none,False,general_knowledge,Gordon Freeman silent resistance hero,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
976730,yes,Halo: The Master Chief Collection,fixed_ensemble,2,Hero/Warrior,Caregiver/Guardian,Ruler/Leader,3,2,1,1,3,maybe,multiplayer_only_or_no_story_focus,True,general_knowledge,Collection spans Chief and other leads,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
438100,no,VRChat,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,3,0,no,no_clear_protagonist,False,general_knowledge,Social platform without narrative protagonist,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
1144200,yes,Ready or Not,fixed_role_single,2,Hero/Warrior,Caregiver/Guardian,Sage/Investigator,2,2,1,2,1,maybe,none,False,general_knowledge,SWAT commander role in tactical operations,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
238960,yes,Path of Exile,customizable_but_defined,3,Everyman/Orphan,Hero/Warrior,Shadow/Antihero,2,2,2,3,3,yes,none,False,general_knowledge,Custom exile survives dark Wraeclast,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
526870,yes,Satisfactory,fixed_role_single,2,Creator/Artist,Explorer/Seeker,Everyman/Orphan,2,2,1,2,1,maybe,none,False,general_knowledge,FICSIT pioneer builds alien factory,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
22380,yes,Fallout: New Vegas,customizable_but_defined,3,Everyman/Orphan,Rebel/Outlaw,Ruler/Leader,3,3,2,3,3,yes,none,False,general_knowledge,Courier reshapes Mojave politics,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
1468810,yes,鬼谷八荒 Tale of Immortal,customizable_but_defined,2,Explorer/Seeker,Magician/Transformer,Hero/Warrior,2,2,1,3,2,maybe,none,True,general_knowledge,Custom cultivator seeks immortal power,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
1551360,no,Forza Horizon 5,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,3,0,0,1,0,no,sports_or_racing,False,general_knowledge,Racing festival driver role,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
2246340,yes,Monster Hunter Wilds,customizable_but_defined,2,Hero/Warrior,Explorer/Seeker,Caregiver/Guardian,2,2,0,3,2,maybe,none,True,general_knowledge,Custom hunter in expedition narrative,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
1426210,yes,It Takes Two,fixed_dual,3,Lover,Caregiver/Guardian,Everyman/Orphan,3,3,1,1,3,yes,none,False,general_knowledge,Cody and May repair marriage,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
427520,yes,Factorio,fixed_role_single,2,Creator/Artist,Explorer/Seeker,Everyman/Orphan,2,2,1,2,1,maybe,none,False,general_knowledge,Stranded engineer industrializes alien world,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
311210,yes,Call of Duty: Black Ops III,customizable_but_defined,2,Hero/Warrior,Shadow/Antihero,Sage/Investigator,2,2,2,2,2,maybe,none,True,general_knowledge,Cybernetic soldier in fractured campaign,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
700330,no,SCP: Secret Laboratory,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,1,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Asymmetric multiplayer roles, no lead",steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
477160,yes,Human Fall Flat,player_avatar_weakly_defined,2,Jester/Trickster,Innocent,Explorer/Seeker,2,1,0,3,0,maybe,none,False,general_knowledge,Wobbly avatar solves comic physics puzzles,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
698780,yes,Doki Doki Literature Club!,player_avatar_weakly_defined,2,Everyman/Orphan,Lover,Innocent,2,2,2,3,3,yes,none,False,general_knowledge,Self-insert club member in meta horror,steam-v005-top1000-55-chunk-00002-ranks-51-100,top1000_55,gpt-5.5
