a,h,pn,pt,pc,p,s,t,ac,su,sh,pp,nc,inc,ex,mr,eb,note,custom_id,part_no
2944940,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2948460,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2949810,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2954000,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,sim,True,m,"Market sim likely, unclear lead",steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2960540,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2960700,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2961920,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,sim,True,m,"Idle system likely, unclear protagonist",steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2965940,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2969020,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,sim,True,m,Pool sim unclear protagonist,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2971390,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2980280,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2984780,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2996850,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,nop,True,m,Escape room likely no protagonist,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2999770,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
3000520,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
3019030,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
3019360,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Educational title unclear role,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
3023800,y,y,fns,2,SAG,EXP,NA,2,2,0,1,2,y,info,False,g,"Detective named AnnIntae, clear protagonist",steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
3024760,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
3027000,n,NA,sys,2,NA,NA,NA,0,0,0,0,1,n,sys,False,g,"Strategy rhythm hybrid, no protagonist",steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
3029870,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
3033900,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Metamorphosis title too vague,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
3041110,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
3054670,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
3055400,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,spr,True,m,Party game unclear protagonist,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
3055780,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
3057470,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
3067780,u,KURU,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Unknown title; no reliable protagonist,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3078570,u,Yatsumeguri | 八つ巡,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Insufficient info for protagonist,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3090820,u,Lefty,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Title only; unclear player role,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3100810,u,Unreal Wukong,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Likely action game; protagonist unclear,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3101180,u,Mannequin machine,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,No clear protagonist from title,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3107090,y,Outbreak: Shades of Horror Chromatic Split,fns,2,HER,SHA,EVE,1,2,2,1,2,y,none,False,m,Likely survival horror character-driven,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3107730,u,Ether,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Ambiguous title; protagonist unknown,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3118070,n,Grow Empire: Rome,sys,3,NA,NA,NA,0,1,0,0,1,n,sys,False,g,Empire management; no protagonist,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3119390,u,異常階段 - Abnormal Stairs,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Horror title; role unclear,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3122490,n,Simulator: Parking Lot,sim,3,NA,NA,NA,0,1,0,0,0,n,sim,False,g,Parking management simulator,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3126440,u,The Sunday,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Insufficient information,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3128580,y,OMEGA 6 The Triangle Stars,fen,2,HER,EXP,CRE,1,2,0,1,2,y,none,False,m,Likely ensemble sci-fi adventure,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3130440,u,Unterholz,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Unknown game context,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3145520,u,Look or Die,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Title too vague,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3148100,n,Combine 2 Pumpkins,sim,2,NA,NA,NA,0,1,0,0,0,n,sim,False,g,"Puzzle/casual, no protagonist",steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3148810,n,DronesKillAnimals,sys,2,NA,NA,NA,0,1,0,0,0,n,sys,False,m,Systemic title; no clear character,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3149270,u,The Cummunist Manifesto: Dommy Mommy Commie Adventure,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Parodic title; unclear protagonist,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3151020,u,Easy Ball Game,spr,1,UNC,NA,NA,0,0,0,0,0,m,spr,True,m,Likely sports/ball gameplay,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3161340,u,Spirit School Days,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,"School setting, protagonist unclear",steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3167100,u,CODE: BLUE,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Ambiguous title,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3175530,y,Kokoro Clover SUN - Prehistoric Invaders!,fns,2,HER,EXP,JES,1,2,0,1,2,y,none,False,m,Likely named heroine adventure,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3191400,y,GwenBlade: Halloween,fns,2,HER,SHA,JES,1,2,1,1,1,y,none,False,m,Named character-centric action,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3192960,u,Parcel Master,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,"Could be delivery role, uncertain",steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3203860,u,Sewing Stuff,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Craft title; no clear protagonist,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3205560,n,JanKenUP!,sim,2,NA,NA,NA,0,1,0,0,0,n,sim,False,g,Mini-game/systemic role,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3206660,u,Storage Anomaly,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,No reliable protagonist info,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3212380,u,AéroMultiverse,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Title too vague,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3247290,u,Ellingby House,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,House title; unclear role,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3256020,y,Electrician Simulator VR,sim,2,EVE,CRE,SAG,1,2,0,1,1,y,sim,False,g,Occupational simulator role,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3270270,u,Haunted Halloween,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Too generic to classify,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3283230,u,Randotura,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Unknown title,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3293100,u,Scientist Creature,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,No clear protagonist,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3299460,n,Arcade Empire Tycoon,sim,3,NA,NA,NA,0,1,0,0,1,n,sim,False,g,"Tycoon management, no protagonist",steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3333450,n,Electronic Market Simulator: Prologue,sim,3,NA,NA,NA,0,1,0,0,0,n,sim,False,m,"Market simulator, no protagonist",steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3337050,u,The Night Games Collection,unc,1,UNC,NA,NA,0,0,0,0,0,m,multi,True,m,Collection; not enough detail,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3338600,u,The Last Experiment: A Memetric Story,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Story title; protagonist unclear,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3342400,u,Flames in Modern Europe,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Insufficient information,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3342630,u,Escape From Sandhill,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Escape title; role unclear,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3343300,u,Nightfall House,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,No reliable protagonist info,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3363410,u,Lumi Trek,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,"Title suggests journey, still unclear",steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3370400,n,Cake Space Shooter,spr,2,NA,NA,NA,0,1,0,0,0,n,spr,False,m,"Arcade shooter, no protagonist",steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3388340,u,Laundromat Manager Simulator,sim,2,EVE,CRE,RUL,1,2,0,1,1,y,sim,False,g,Management sim with player role,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3396460,u,Urban Shadows Racing Tokyo,spr,2,UNC,NA,NA,0,1,0,1,0,m,spr,True,m,Racing title; protagonist unclear,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3418810,u,Marmot Fight Club,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,"Could be combat game, unclear",steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3420840,u,The Outer Side,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Ambiguous title,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3426410,n,我就是建-I just build,sim,3,NA,NA,NA,0,1,0,0,0,n,sim,False,g,Building sim; no protagonist,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3434800,u,My Virtual Friend,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Virtual companion unclear,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3440750,u,Beats&Boss,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Rhythm/boss title ambiguous,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3446450,u,Finding Cats In White Sand Village,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,"Hidden-object style, role unclear",steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3446740,u,The Random Game,unc,1,UNC,NA,NA,0,0,0,0,0,m,unk,True,m,Too generic for classification,steam-v006-rest54mini-part_010-chunk-0002-ranks-46051-46100,10
3450340,y,Henshin MyBro!,fns,2,HER,JES,REB,2,2,1,1,1,y,none,False,m,Transformation hero comedy,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
3456970,y,Death Kid,fns,2,SHA,HER,EVE,2,2,3,1,1,y,none,False,m,Named kid protagonist,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
3459810,n,,sim,2,NA,NA,NA,1,1,0,0,1,n,sim,False,m,Kingdom expansion sim,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
3478950,y,In Purr-Suit,fns,2,EXP,JES,EVE,2,1,0,1,1,y,none,False,m,Cat chase protagonist,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
3504990,y,BACKSPACE,pav,1,SAG,EXP,REB,1,1,0,2,0,y,none,False,m,Abstract typing challenge,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
3510310,u,Flat 9,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Insufficient game context,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
3544460,y,Kitsune,fns,2,MAG,EXP,INN,2,1,0,1,1,y,none,False,m,Fox spirit lead,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
3557790,y,Vendetta Forever,fns,2,REB,SHA,HER,2,2,3,1,1,y,none,False,m,Violent revenge lead,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
3560690,n,,nfx,2,NA,NA,NA,1,1,0,0,0,n,nop,False,m,Spaceship shooter,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
3589940,y,The Neverending Summer,fns,1,EVE,LOV,EXP,1,1,0,1,1,y,none,False,m,Youthful summer narrative,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
3593180,y,Launching Over It,pav,1,HER,REB,SHA,1,1,1,2,0,y,none,False,m,Precision ascent challenge,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
3615590,y,My Life as a Robot Vacuum,nfx,2,EVE,JES,CRE,2,2,0,1,1,y,none,False,m,Robot vacuum as protagonist,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
4100,y,Poker Superstars II,spr,1,RUL,JES,SHA,1,1,0,1,0,y,spr,False,g,Poker competition focus,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
19320,n,,nfx,1,NA,NA,NA,1,1,0,0,0,n,nop,False,g,Ark no clear protagonist,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
33550,u,Time of Shadows,unc,1,UNC,UNC,UNC,1,1,1,0,2,m,unk,True,m,Too little reliable detail,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
34272,y,Comix Zone,fns,3,HER,REB,JES,3,3,2,2,2,y,none,False,g,Comic-book fighter,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
47110,y,Escape From Paradise,fns,2,EXP,EVE,REB,2,2,1,1,1,y,none,False,m,Escape-driven protagonist,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
71117,n,,nfx,1,NA,NA,NA,1,1,0,0,0,n,nop,False,g,Shoot 'em up ships,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
276380,n,,sim,2,NA,NA,NA,1,1,0,0,0,n,sim,False,m,Pet hotel management,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
290850,n,,sys,1,NA,NA,NA,1,1,0,0,0,n,sys,False,m,Team strategy system,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
298420,n,,pav,1,NA,NA,NA,1,1,0,1,0,n,nop,False,g,Puzzle without protagonist,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
302290,u,Infinite Game Works Episode 0,unc,1,UNC,UNC,UNC,1,0,0,0,1,m,unk,True,m,Unknown narrative role,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
340920,n,,sys,1,NA,NA,NA,1,1,0,0,0,n,sys,False,m,Turtle enclave defense,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
341360,y,Paparazzi,fns,2,SAG,REB,JES,2,2,0,1,1,y,none,False,g,Photographer character,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
343770,u,Rotieer,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Insufficient context,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
347240,y,Challenge of the Five Realms: Spellbound in the World of Nhagardia,fns,1,EXP,MAG,HER,1,1,0,1,2,y,none,False,m,Fantasy adventure protagonist,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
349150,y,Dead TrailZ,fns,2,SHA,REB,HER,2,2,3,1,1,y,none,False,m,Survival shooter lead,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
351690,y,Apple Jack 1&2,fns,2,EVE,INN,EXP,2,2,0,1,1,y,none,False,g,Named hero Jack,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
361790,y,Winged Sakura: Mindy's Arc 2,fns,2,MAG,HER,EVE,2,2,0,1,1,y,none,False,g,Mindy-centric sequel,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
362790,y,Word Wonders: The Tower of Babel,pav,1,CRE,SAG,EXP,1,1,0,1,1,y,none,False,m,Word puzzle avatar,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
369120,u,Invisible Apartment Zero,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unclear protagonist,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
370120,y,Pirate Code,fns,2,REB,EXP,RUL,2,2,1,1,1,y,none,False,m,Pirate lead character,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
372430,n,,sys,1,NA,NA,NA,1,1,0,0,0,n,sys,False,m,Fragmented reality system,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
373460,y,Fury Of The Gods,fns,1,HER,MAG,RUL,1,1,1,1,1,y,none,False,m,Godly combat focus,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
378240,u,The Mors,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown title context,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
389800,n,,sys,1,NA,NA,NA,1,1,0,0,1,n,sys,False,m,AlterVerse systemic role,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
400410,y,OASE - Other Age Second Encounter,fns,1,EXP,MAG,EVE,1,1,0,1,1,y,none,False,m,Adventure encounter title,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
403680,n,,spr,1,NA,NA,NA,1,1,0,0,0,n,spr,False,g,Ball dexterity sport,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
404420,y,Sun Dogs,fns,2,HER,EVE,SHA,2,2,1,1,1,y,none,False,m,Likely named crew lead,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
413540,y,Recourse,fns,1,REB,SHA,HER,1,1,1,1,1,y,none,False,m,Action protagonist,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
413830,y,Overdosed - A Trip To Hell,fns,2,SHA,MAG,REB,2,2,3,1,1,y,none,False,m,Hell journey lead,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
420500,y,Rynn's Adventure: Trouble in the Enchanted Forest,fns,3,HER,EXP,INN,3,3,0,1,2,y,none,False,g,Rynn is clear protagonist,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
425860,n,,nfx,1,NA,NA,NA,1,1,0,0,0,n,nop,False,m,Vector ship shooter,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
432620,n,,sim,1,NA,NA,NA,1,1,0,0,0,n,sim,False,m,Arena management sim,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
434790,n,,nfx,1,NA,NA,NA,1,1,0,0,0,n,nop,False,m,Planet setting lacks protagonist,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
434860,y,Wanderjahr,fns,2,EXP,HER,EVE,2,2,0,1,1,y,none,False,m,Journey-driven lead,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
437210,u,The Hunt,unc,1,UNC,UNC,UNC,1,1,1,0,1,m,unk,True,m,Ambiguous title only,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
445670,u,The Stargazers,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unclear narrative role,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
451870,y,Nighttime Terror VR: Dessert Defender,fns,2,HER,JES,CAR,2,2,0,2,1,y,none,False,m,Defending desserts in VR,steam-v006-rest54mini-part_010-chunk-0003-ranks-46101-46150,10
